id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-387361,2023-02-22,000001,Vente,81000,,,LE FRAY,B022,31220,31406,Palaminy,31,,,314060000A1153,,,,,,,,,,,,,0,,,,,T,terres,,,702,1.071187,43.206996
2023-387361,2023-02-22,000001,Vente,81000,,,LE FRAY,B022,31220,31406,Palaminy,31,,,314060000A1162,,,,,,,,,,,,,0,,,,,T,terres,,,190,1.071128,43.207084
2023-387566,2023-03-17,000001,Vente,176000,116,,RUE SAINT-ROCH,0097,31220,31406,Palaminy,31,,,314060000A0583,,,,,,,,,,,,,0,1,Maison,87,3,S,sols,,,719,1.071034,43.203676
2023-387566,2023-03-17,000001,Vente,176000,11,,CHE DE SAINT-ROCH,0096,31220,31406,Palaminy,31,,,314060000A0960,,,,,,,,,,,,,0,,,,,S,sols,,,705,1.071307,43.203577
2023-387803,2023-03-21,000002,Vente,60526,,,LE FRAY,B022,31220,31406,Palaminy,31,,,314060000A1172,,,,,,,,,,,,,0,,,,,P,prés,,,5003,1.071757,43.209971
2023-387803,2023-03-21,000002,Vente,60526,,,LE FRAY,B022,31220,31406,Palaminy,31,,,314060000A1173,,,,,,,,,,,,,0,,,,,P,prés,,,97,1.072443,43.210093
2023-388109,2023-04-11,000001,Vente,173000,31,,RUE DE LA FORGE,1150,31220,31406,Palaminy,31,,,314060000A0036,,,,,,,,,,,,,0,1,Maison,104,3,S,sols,,,240,1.070586,43.203196
2023-388378,2023-04-28,000002,Vente,291869,,,LA HITAIRE,B024,31220,31406,Palaminy,31,,,314060000A0332,,,,,,,,,,,,,0,,,,,J,jardins,,,520,1.070577,43.204308
2023-388378,2023-04-28,000002,Vente,291869,64,,CHE DE LA HITAIRE,0048,31220,31406,Palaminy,31,,,314060000A0737,,,,,,,,,,,,,0,1,Maison,236,8,S,sols,,,856,1.070408,43.204504
2023-388378,2023-04-28,000002,Vente,291869,,,LA HITAIRE,B024,31220,31406,Palaminy,31,,,314060000A1185,,,,,,,,,,,,,0,,,,,S,sols,,,224,1.070477,43.204659
