id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-386309,2023-01-04,000001,Vente,77000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1654,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,114,1.179942,43.318635
2023-386309,2023-01-04,000001,Vente,77000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1666,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,487,1.179996,43.318527
2023-386544,2023-01-25,000001,Vente,75000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1652,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,108,1.179537,43.318444
2023-386544,2023-01-25,000001,Vente,75000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1668,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,481,1.179583,43.318275
2023-386546,2023-01-26,000001,Vente,68000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1659,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,210,1.179164,43.318282
2023-386546,2023-01-26,000001,Vente,68000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1669,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,313,1.179142,43.318195
2023-386658,2023-01-20,000001,Vente,114000,,,LA CARRERE,B006,31390,31416,Peyssies,31,,,314160000B1689,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1014,1.180675,43.324016
2023-387043,2023-02-15,000001,Vente,115000,,,LA CARRERE,B006,31390,31416,Peyssies,31,,,314160000B1690,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1015,1.180706,43.324187
2023-387516,2023-03-22,000001,Vente,69000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1658,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,554,1.178935,43.318322
2023-387516,2023-03-22,000001,Vente,69000,18,,RTE DES LACS,0016,31390,31416,Peyssies,31,,,314160000B1683,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1,1.178825,43.318329
2023-387765,2023-04-04,000001,Vente,80000,,,LE VILLAGE,B018,31390,31416,Peyssies,31,,,314160000B1650,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,657,1.179646,43.318721
2023-387770,2023-03-16,000001,Vente,7000,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1733,,,,,,,,,,,,,0,,,,,T,terres,,,6086,1.189309,43.322277
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1715,,,,,,,,,,,,,0,,,,,T,terres,,,41891,1.187935,43.32138
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1721,,,,,,,,,,,,,0,,,,,T,terres,,,1308,1.190952,43.323127
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1723,,,,,,,,,,,,,0,,,,,T,terres,,,1264,1.190777,43.323077
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1725,,,,,,,,,,,,,0,,,,,T,terres,,,3307,1.190441,43.32308
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1727,,,,,,,,,,,,,0,,,,,T,terres,,,3628,1.190597,43.322681
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1729,,,,,,,,,,,,,0,,,,,T,terres,,,3742,1.190469,43.322389
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1731,,,,,,,,,,,,,0,,,,,T,terres,,,1782,1.189774,43.322555
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1732,,,,,,,,,,,,,0,,,,,T,terres,,,1750,1.189839,43.322368
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1734,,,,,,,,,,,,,0,,,,,T,terres,,,6554,1.190145,43.321597
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1736,,,,,,,,,,,,,0,,,,,T,terres,,,234,1.190841,43.321927
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1741,,,,,,,,,,,,,0,,,,,T,terres,,,911,1.187141,43.32144
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1743,,,,,,,,,,,,,0,,,,,T,terres,,,1703,1.189126,43.322954
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1745,,,,,,,,,,,,,0,,,,,T,terres,,,2545,1.188677,43.322741
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1746,,,,,,,,,,,,,0,,,,,P,prés,,,13090,1.187142,43.320537
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1749,,,,,,,,,,,,,0,,,,,T,terres,,,2110,1.187865,43.318931
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1751,,,,,,,,,,,,,0,,,,,T,terres,,,11128,1.188417,43.319804
2023-387771,2023-03-15,000001,Vente,109860,,,CANON,B005,31390,31416,Peyssies,31,,,314160000B1755,,,,,,,,,,,,,0,,,,,T,terres,,,2551,1.189422,43.323124
