id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-365646,2023-01-20,000001,Vente en l'état futur d'achèvement,235000,3,,AV MARIE CURIE,0214,31130,31445,Quint-Fonsegrives,31,,,31445000ZH0099,,,365,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.544896,43.588131
2023-365646,2023-01-20,000001,Vente en l'état futur d'achèvement,235000,3,,AV MARIE CURIE,0214,31130,31445,Quint-Fonsegrives,31,,,31445000ZH0099,,,207,43.9,,,,,,,,,1,2,Appartement,62,3,,,,,,1.544896,43.588131
2023-365646,2023-01-20,000001,Vente en l'état futur d'achèvement,235000,3,,AV MARIE CURIE,0214,31130,31445,Quint-Fonsegrives,31,,,31445000ZH0099,,,366,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.544896,43.588131
2023-365840,2023-01-11,000001,Vente,203700,48,,AV MARIE CURIE,0214,31130,31445,Quint-Fonsegrives,31,,,31445000ZH0123,,,,,,,,,,,,,0,1,Maison,76,3,S,sols,,,224,1.545322,43.58696
2023-365855,2023-01-04,000001,Vente,210900,3,,RUE SIMONE VEIL,0396,31130,31445,Quint-Fonsegrives,31,,,31445000ZH0141,,,,,,,,,,,,,0,1,Maison,84,4,S,sols,,,280,1.546028,43.586544
2023-366152,2023-01-30,000001,Vente,747000,,,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0368,,,,,,,,,,,,,0,,,,,T,terres,,,148,1.534838,43.58768
2023-366152,2023-01-30,000001,Vente,747000,,,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0369,,,,,,,,,,,,,0,,,,,S,sols,,,104,1.534599,43.587594
2023-366152,2023-01-30,000001,Vente,747000,,,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0371,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,103,1.535314,43.587737
2023-366152,2023-01-30,000001,Vente,747000,2,Q,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0372,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500,1.53521,43.587872
2023-366152,2023-01-30,000001,Vente,747000,2,Q,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0372,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,PARC,Parc,549,1.53521,43.587872
2023-366152,2023-01-30,000001,Vente,747000,2,Q,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0372,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,PARC,Parc,549,1.53521,43.587872
2023-366152,2023-01-30,000001,Vente,747000,2,Q,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0372,,,,,,,,,,,,,0,1,Maison,156,4,S,sols,,,500,1.53521,43.587872
2023-366152,2023-01-30,000001,Vente,747000,2,Q,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0372,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500,1.53521,43.587872
2023-366152,2023-01-30,000001,Vente,747000,2,Q,AV DU LAURAGAIS,0180,31130,31445,Quint-Fonsegrives,31,,,31445000AD0372,,,,,,,,,,,,,0,1,Maison,156,4,AG,terrains d'agrément,PARC,Parc,549,1.53521,43.587872
2023-366222,2023-01-12,000001,Vente,290500,2,,RUE DES CEVENNES,0080,31130,31445,Quint-Fonsegrives,31,,,31445000AD0096,,,,,,,,,,,,,0,1,Maison,96,5,S,sols,,,505,1.535021,43.588839
2023-366222,2023-01-12,000001,Vente,290500,2,,RUE DES CEVENNES,0080,31130,31445,Quint-Fonsegrives,31,,,31445000AD0096,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,505,1.535021,43.588839
2023-366278,2023-01-13,000001,Vente,190575,5,,RUE MARGUERITE YOURCENAR,0212,31130,31445,Quint-Fonsegrives,31,,,31445000ZH0150,,,,,,,,,,,,,0,1,Maison,71,3,S,sols,,,215,1.545318,43.586478
2023-366938,2023-02-10,000001,Vente,15000,1,,CHE DU GRAND PORT DE MER,0152,31130,31445,Quint-Fonsegrives,31,,,31445000AB0392,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.526911,43.583879
2023-367683,2023-02-08,000002,Vente,275000,,,LEVADE,B014,31130,31445,Quint-Fonsegrives,31,,,31445000ZD0130,,,,,,,,,,,,,0,,,,,S,sols,,,46,1.561372,43.5847
2023-367683,2023-02-08,000002,Vente,275000,,,LEVADE,B014,31130,31445,Quint-Fonsegrives,31,,,31445000ZD0131,,,,,,,,,,,,,0,,,,,S,sols,,,95,1.56138,43.584642
2023-367683,2023-02-08,000002,Vente,275000,258,,RTE DE CASTRES,0060,31130,31445,Quint-Fonsegrives,31,,,31445000ZD0357,,,,,,,,,,,,,0,1,Maison,125,4,,,,,,1.561721,43.584474
2023-367728,2023-02-16,000001,Vente en l'état futur d'achèvement,225896,,,FONSEGRIVES EST,B005,31130,31445,Quint-Fonsegrives,31,,,31445000AH0005,,,111,,,,,,,,,,1,,,,,,,,,,1.529526,43.584482
2023-367728,2023-02-16,000001,Vente en l'état futur d'achèvement,225896,,,FONSEGRIVES EST,B005,31130,31445,Quint-Fonsegrives,31,,,31445000AH0005,,,7,,,,,,,,,,1,,,,,,,,,,1.529526,43.584482
2023-367729,2023-02-16,000001,Vente en l'état futur d'achèvement,264900,,,FONSEGRIVES EST,B005,31130,31445,Quint-Fonsegrives,31,,,31445000AH0005,,,318,,,,,,,,,,1,,,,,,,,,,1.529526,43.584482
