id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-386329,2023-01-05,000001,Vente,102900,,,LES ROUJATS,B091,31470,31499,Saint-Lys,31,,,314990000B2575,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,402,1.188311,43.509291
2023-386367,2023-01-12,000001,Vente,334350,38,,CHE DE LA MOUTONNE,0216,31470,31499,Saint-Lys,31,,,314990000B2362,,,,,,,,,,,,,0,1,Maison,107,4,S,sols,,,955,1.200668,43.504795
2023-386384,2023-01-09,000001,Vente,614280,3806,,RTE DE LAMASQUERE,0169,31470,31499,Saint-Lys,31,,,314990000D0824,,,,,,,,,,,,,0,1,Maison,209,7,S,sols,,,2120,1.21711,43.500594
2023-386384,2023-01-09,000001,Vente,614280,3806,,RTE DE LAMASQUERE,0169,31470,31499,Saint-Lys,31,,,314990000D0824,,,,,,,,,,,,,0,3,Dépendance,,0,T,terres,,,1771,1.21711,43.500594
2023-386384,2023-01-09,000001,Vente,614280,3806,,RTE DE LAMASQUERE,0169,31470,31499,Saint-Lys,31,,,314990000D0824,,,,,,,,,,,,,0,1,Maison,209,7,T,terres,,,1771,1.21711,43.500594
2023-386384,2023-01-09,000001,Vente,614280,3806,,RTE DE LAMASQUERE,0169,31470,31499,Saint-Lys,31,,,314990000D0824,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,2120,1.21711,43.500594
2023-386419,2023-01-20,000001,Vente,165000,,,METAIRIE DE MARSOULAN,B060,31470,31499,Saint-Lys,31,,,314990000B2616,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1643,1.206508,43.513811
2023-386436,2023-01-07,000001,Vente,230000,14,,CHE D HOLENTIS,0149,31470,31499,Saint-Lys,31,,,314990000E3738,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,1615,1.173076,43.50591
2023-386436,2023-01-07,000001,Vente,230000,14,,CHE D HOLENTIS,0149,31470,31499,Saint-Lys,31,,,314990000E3738,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1615,1.173076,43.50591
2023-386438,2023-01-09,000001,Vente,233800,11,,RUE AIME CESAIRE,0420,31470,31499,Saint-Lys,31,,,314990000B2171,,,,,,,,,,,,,0,1,Maison,79,3,S,sols,,,303,1.196461,43.511635
2023-386445,2023-01-04,000001,Vente,75000,5001,F,RUE RENE ZAGO,0360,31470,31499,Saint-Lys,31,,,314990000B1608,,,6,31.36,,,,,,,,,1,2,Appartement,32,2,,,,,,1.186963,43.509941
2023-386445,2023-01-04,000001,Vente,75000,5001,F,RUE RENE ZAGO,0360,31470,31499,Saint-Lys,31,,,314990000B1608,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.186963,43.509941
2023-386447,2023-01-24,000001,Vente,263000,,,CHE DES NAUZES,0224,31470,31499,Saint-Lys,31,,,314990000E2953,,,,,,,,,,,,,0,1,Maison,103,5,S,sols,,,543,1.178637,43.501906
2023-386479,2023-01-19,000001,Vente,335000,18,,CHE D HOLENTIS,0149,31470,31499,Saint-Lys,31,,,314990000E0928,,,,,,,,,,,,,0,1,Maison,110,4,S,sols,,,1080,1.172603,43.505443
