id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-388949,2023-05-25,000001,Vente,11490,,,LAS TRONQUES,B013,31410,31379,Montgazin,31,,,313790000B0266,,,,,,,,,,,,,0,,,,,T,terres,,,3568,1.319515,43.299483
2023-388949,2023-05-25,000001,Vente,11490,,,LAS TRONQUES,B013,31410,31379,Montgazin,31,,,313790000B0290,,,,,,,,,,,,,0,,,,,T,terres,,,7910,1.317975,43.297977
2023-388949,2023-05-25,000001,Vente,11490,,,LAS TRONQUES,B013,31410,31379,Montgazin,31,,,313790000B0404,,,,,,,,,,,,,0,,,,,T,terres,,,11449,1.317926,43.297566
2023-390492,2023-07-21,000001,Vente,40000,7,,LOYS,B014,31410,31379,Montgazin,31,,,313790000A0243,,,,,,,,,,,,,0,1,Maison,67,3,S,sols,,,115,1.314283,43.312043
2023-390492,2023-07-21,000001,Vente,40000,,,LOYS,B014,31410,31379,Montgazin,31,,,313790000A0245,,,,,,,,,,,,,0,,,,,P,prés,,,1085,1.314131,43.312201
2023-390492,2023-07-21,000001,Vente,40000,,,LOYS,B014,31410,31379,Montgazin,31,,,313790000A0440,,,,,,,,,,,,,0,,,,,T,terres,,,331,1.314268,43.312066
2023-390492,2023-07-21,000001,Vente,40000,,,LOYS,B014,31410,31379,Montgazin,31,,,313790000A0445,,,,,,,,,,,,,0,,,,,S,sols,,,859,1.314151,43.31199
2023-392230,2023-11-15,000001,Vente,296400,5001,F,GILABERT,B011,31410,31379,Montgazin,31,,,313790000B0516,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,831,1.310191,43.309749
2023-392230,2023-11-15,000001,Vente,296400,5001,F,GILABERT,B011,31410,31379,Montgazin,31,,,313790000B0516,,,,,,,,,,,,,0,1,Maison,128,4,S,sols,,,831,1.310191,43.309749
2023-392230,2023-11-15,000001,Vente,296400,,,GILABERT,B011,31410,31379,Montgazin,31,,,313790000B0517,,,,,,,,,,,,,0,,,,,S,sols,,,31,1.31017,43.309911
2023-393203,2023-12-27,000001,Vente,36568.8,,,PITOT,B020,31410,31379,Montgazin,31,,,313790000A0007,,,,,,,,,,,,,0,,,,,T,terres,,,4270,1.298855,43.318998
2023-393203,2023-12-27,000001,Vente,36568.8,,,PITOT,B020,31410,31379,Montgazin,31,,,313790000A0009,,,,,,,,,,,,,0,,,,,T,terres,,,8830,1.297683,43.319641
2023-393203,2023-12-27,000001,Vente,36568.8,,,PITOT,B020,31410,31379,Montgazin,31,,,313790000A0010,,,,,,,,,,,,,0,,,,,T,terres,,,6418,1.297007,43.319825
2023-393203,2023-12-27,000001,Vente,36568.8,,,PITOT,B020,31410,31379,Montgazin,31,,,313790000A0020,,,,,,,,,,,,,0,,,,,T,terres,,,6009,1.296695,43.318336
2023-393203,2023-12-27,000001,Vente,36568.8,,,PITOT,B020,31410,31379,Montgazin,31,,,313790000A0021,,,,,,,,,,,,,0,,,,,T,terres,,,4483,1.297597,43.318454
2023-393203,2023-12-27,000001,Vente,36568.8,,,PITOT,B020,31410,31379,Montgazin,31,,,313790000A0022,,,,,,,,,,,,,0,,,,,T,terres,,,4482,1.297367,43.31789
2023-393203,2023-12-27,000001,Vente,36568.8,,,PITOT,B020,31410,31379,Montgazin,31,,,313790000A0023,,,,,,,,,,,,,0,,,,,T,terres,,,4900,1.298122,43.318026
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0137,,,,,,,,,,,,,0,,,,,T,terres,,,4160,1.306879,43.31728
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0139,,,,,,,,,,,,,0,,,,,T,terres,,,6100,1.309026,43.317883
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0140,,,,,,,,,,,,,0,,,,,T,terres,,,7927,1.30848,43.317107
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0141,,,,,,,,,,,,,0,,,,,T,terres,,,333,1.309367,43.317365
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0142,,,,,,,,,,,,,0,,,,,T,terres,,,6000,1.30945,43.317556
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0143,,,,,,,,,,,,,0,,,,,T,terres,,,7443,1.30988,43.317557
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0144,,,,,,,,,,,,,0,,,,,T,terres,,,7630,1.310461,43.317858
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0145,,,,,,,,,,,,,0,,,,,T,terres,,,6970,1.310917,43.317715
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0146,,,,,,,,,,,,,0,,,,,T,terres,,,785,1.310903,43.316801
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0147,,,,,,,,,,,,,0,,,,,T,terres,,,10993,1.311619,43.317074
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0148,,,,,,,,,,,,,0,,,,,T,terres,,,24150,1.309998,43.31583
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0157,,,,,,,,,,,,,0,,,,,T,terres,,,650,1.308988,43.315377
2023-393255,2023-12-22,000001,Vente,83981,,,THURIES,B022,31410,31379,Montgazin,31,,,313790000A0396,,,,,,,,,,,,,0,,,,,T,terres,,,5260,1.307472,43.317208
