id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-388297,2023-04-27,000001,Vente,146000,12,,RUE DU FORGERON,0095,31190,31128,Caujac,31,,,311280000A0057,,,,,,,,,,,,,0,1,Maison,50,1,S,sols,,,79,1.46862,43.298527
2023-389524,2023-06-23,000001,Vente,335800,309,,CHE DE LA CARRIERO OBSCURE,0055,31190,31128,Caujac,31,,,31128000WA0079,,,,,,,,,,,,,0,1,Maison,164,6,AG,terrains d'agrément,,,1488,1.458123,43.293608
2023-389524,2023-06-23,000001,Vente,335800,309,,CHE DE LA CARRIERO OBSCURE,0055,31190,31128,Caujac,31,,,31128000WA0079,,,,,,,,,,,,,0,1,Maison,164,6,S,sols,,,1000,1.458123,43.293608
2023-390516,2023-07-28,000001,Vente,75000,,,LE VOISINAL,B056,31190,31128,Caujac,31,,,311280000A0188,,,,,,,,,,,,,0,,,,,J,jardins,,,340,1.471671,43.297441
2023-390516,2023-07-28,000001,Vente,75000,215,,RTE DE SAVERDUN,0180,31190,31128,Caujac,31,,,31128000WE0033,,,,,,,,,,,,,0,1,Maison,125,3,S,sols,,,869,1.472098,43.297326
2023-390516,2023-07-28,000001,Vente,75000,,,LA PLAINE,B038,31190,31128,Caujac,31,,,31128000WE0034,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1075,1.472241,43.297616
2023-390933,2023-08-24,000001,Vente,127000,30,,RTE D'ESCAYRE,0080,31190,31128,Caujac,31,,,311280000A0241,,,,,,,,,,,,,0,1,Maison,67,2,S,sols,,,73,1.468661,43.297428
2023-390948,2023-08-22,000001,Vente,40000,,,LE BOURG,B009,31190,31128,Caujac,31,,,311280000A0125,,,,,,,,,,,,,0,,,,,S,sols,,,100,1.469846,43.300152
2023-390948,2023-08-22,000001,Vente,40000,,,LE BOURG,B009,31190,31128,Caujac,31,,,311280000A0125,,,,,,,,,,,,,0,,,,,J,jardins,,,434,1.469846,43.300152
2023-391019,2023-08-30,000001,Vente,140000,144,,RTE DE MIREMONT,0130,31190,31128,Caujac,31,,,311280000A0866,,,,,,,,,,,,,0,1,Maison,97,4,S,sols,,,633,1.469212,43.301665
2023-391019,2023-08-30,000001,Vente,140000,144,,RTE DE MIREMONT,0130,31190,31128,Caujac,31,,,311280000A0866,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,633,1.469212,43.301665
2023-391019,2023-08-30,000001,Vente,140000,,,BEQUEL,B007,31190,31128,Caujac,31,,,311280000A0868,,,,,,,,,,,,,0,,,,,S,sols,,,144,1.468907,43.30177
2023-392001,2023-11-03,000001,Vente,234350,2,,RUE VIEILLE,0190,31190,31128,Caujac,31,,,311280000A0060,,,,,,,,,,,,,0,1,Maison,116,3,S,sols,,,264,1.468298,43.298593
2023-392152,2023-11-07,000001,Vente,1,,,LE BOURG,B009,31190,31128,Caujac,31,,,311280000A0040,,,,,,,,,,,,,0,,,,,J,jardins,,,120,1.467092,43.29875
2023-392161,2023-11-13,000001,Vente,168000,,,BEQUEL,B007,31190,31128,Caujac,31,,,311280000A0129,,,,,,,,,,,,,0,,,,,S,sols,,,80,1.470136,43.300693
2023-392161,2023-11-13,000001,Vente,168000,20,,RTE D'AUTERIVE,0030,31190,31128,Caujac,31,,,311280000A0130,,,,,,,,,,,,,0,1,Maison,100,4,S,sols,,,650,1.470103,43.30074
2023-392577,2023-12-07,000001,Vente,250000,16,,RUE D'AYRAL,0032,31190,31128,Caujac,31,,,31128000WC0065,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,934,1.468992,43.302275
2023-392577,2023-12-07,000001,Vente,250000,16,,RUE D'AYRAL,0032,31190,31128,Caujac,31,,,31128000WC0065,,,,,,,,,,,,,0,1,Maison,107,5,S,sols,,,934,1.468992,43.302275
2023-392660,2023-11-30,000001,Vente,139000,,,STE MARIE,B048,31190,31128,Caujac,31,,,311280000A0950,,,,,,,,,,,,,0,,,,,S,sols,,,1166,1.467947,43.296485
2023-392929,2023-12-15,000001,Vente,103800,5,,PL DE LA MAIRIE,0120,31190,31128,Caujac,31,,,311280000A0102,,,,,,,,,,,,,0,1,Maison,68,3,S,sols,,,184,1.46934,43.299008
2023-393208,2023-12-20,000001,Vente,240000,,,LE VERNES,B055,31190,31128,Caujac,31,,,311280000B0237,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,8911,1.44415,43.280716
2023-393208,2023-12-20,000001,Vente,240000,,,LE VERNES,B055,31190,31128,Caujac,31,,,311280000B0241,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,7570,1.443691,43.283139
2023-393208,2023-12-20,000001,Vente,240000,,,LE VERNES,B055,31190,31128,Caujac,31,,,311280000B0242,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,5950,1.444458,43.28349
2023-393208,2023-12-20,000001,Vente,240000,,,LE VERNES,B055,31190,31128,Caujac,31,,,311280000B0243,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,5530,1.441994,43.28295
2023-393208,2023-12-20,000001,Vente,240000,,,LES QUATRE CARIERES,B040,31190,31128,Caujac,31,,,311280000B0244,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,67800,1.442216,43.28467
2023-393208,2023-12-20,000001,Vente,240000,,,LES QUATRE CARIERES,B040,31190,31128,Caujac,31,,,311280000B0245,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,126168,1.445716,43.283208
