id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-365163,2023-01-05,000001,Vente,38500,1,,CHE DE LA PLANE,0165,31700,31150,Cornebarrieu,31,,,31150000AX1567,,,100,20.02,,,,,,,,,1,4,Local industriel. commercial ou assimilé,20,0,,,,,,1.306523,43.659784
2023-365237,2023-01-12,000001,Vente,43000,1,,CHE DE LA PLANE,0165,31700,31150,Cornebarrieu,31,,,31150000AX1567,,,112,23.31,,,,,,,,,1,4,Local industriel. commercial ou assimilé,23,0,,,,,,1.306523,43.659784
2023-365490,2023-01-06,000001,Vente,151469.19,1,,RUE HELENE BOUCHER,0074,31700,31150,Cornebarrieu,31,,,31150000AV0877,,,79,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.318463,43.6458
2023-365490,2023-01-06,000001,Vente,151469.19,1,,RUE HELENE BOUCHER,0074,31700,31150,Cornebarrieu,31,,,31150000AV0877,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.318463,43.6458
2023-365490,2023-01-06,000001,Vente,151469.19,1,,RUE HELENE BOUCHER,0074,31700,31150,Cornebarrieu,31,,,31150000AV0877,,,17,,,,,,,,,,1,2,Appartement,65,3,,,,,,1.318463,43.6458
2023-365572,2023-01-13,000001,Vente,195000,17,,RUE VICTOR HUGO,0216,31700,31150,Cornebarrieu,31,,,31150000AX1359,,,5,64.7,67,,79,,,,,,3,2,Appartement,64,3,,,,,,1.310982,43.658734
2023-365572,2023-01-13,000001,Vente,195000,17,,RUE VICTOR HUGO,0216,31700,31150,Cornebarrieu,31,,,31150000AX1359,,,5,64.7,67,,79,,,,,,3,3,Dépendance,,0,,,,,,1.310982,43.658734
2023-365572,2023-01-13,000001,Vente,195000,17,,RUE VICTOR HUGO,0216,31700,31150,Cornebarrieu,31,,,31150000AX1359,,,5,64.7,67,,79,,,,,,3,3,Dépendance,,0,,,,,,1.310982,43.658734
2023-365591,2023-01-18,000001,Vente,201050,1,,CHE DE LA PLANE,0165,31700,31150,Cornebarrieu,31,,,31150000AX1566,,,207,,435,,436,,48,,,,4,3,Dépendance,,0,,,,,,1.307356,43.659528
2023-365591,2023-01-18,000001,Vente,201050,1,,CHE DE LA PLANE,0165,31700,31150,Cornebarrieu,31,,,31150000AX1566,,,207,,435,,436,,48,,,,4,3,Dépendance,,0,,,,,,1.307356,43.659528
