id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-386300,2023-01-05,000001,Vente,20000,37,,RUE SAINT BARTHELEMY,0149,31210,31390,Montréjeau,31,,,313900000C0304,,,,,,,,,,,,,0,1,Maison,120,5,S,sols,,,105,0.565346,43.086185
2023-386371,2023-01-02,000001,Vente,138000,4,,RUE DU COURRAOU,0046,31210,31390,Montréjeau,31,,,313900000B0108,,,,,,,,,,,,,0,1,Maison,82,4,S,sols,,,171,0.566856,43.08949
2023-386371,2023-01-02,000001,Vente,138000,,,LANE-FREDE,B017,31210,31390,Montréjeau,31,,,313900000B0946,,,,,,,,,,,,,0,,,,,J,jardins,,,39,0.56686,43.089581
2023-386371,2023-01-02,000001,Vente,138000,4,,RUE DU COURRAOU,0046,31210,31390,Montréjeau,31,,,313900000B1296,,,,,,,,,,,,,0,,,,,S,sols,,,22,0.566831,43.089366
2023-386378,2023-01-09,000001,Vente,42500,18,,AV DU NORD,0123,31210,31390,Montréjeau,31,,,313900000B0447,,,144,53.22,69,,,,,,,,2,2,Appartement,53,3,,,,,,0.571471,43.086797
2023-386378,2023-01-09,000001,Vente,42500,18,,AV DU NORD,0123,31210,31390,Montréjeau,31,,,313900000B0447,,,144,53.22,69,,,,,,,,2,3,Dépendance,,0,,,,,,0.571471,43.086797
2023-386712,2023-01-30,000001,Vente,16000,3,,PL DE L ORME,0125,31210,31390,Montréjeau,31,,,313900000C0715,,,,,,,,,,,,,0,1,Maison,60,4,S,sols,,,160,0.574365,43.084562
2023-386712,2023-01-30,000001,Vente,16000,3,,PL DE L ORME,0125,31210,31390,Montréjeau,31,,,313900000C0715,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,20,0,S,sols,,,160,0.574365,43.084562
2023-386801,2023-01-31,000001,Vente,63500,24,,RUE DES GIRONDINS,0074,31210,31390,Montréjeau,31,,,313900000C0365,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,63,0.568239,43.086672
2023-386801,2023-01-31,000001,Vente,63500,,,LA VILLE,B027,31210,31390,Montréjeau,31,,,313900000C0366,,,,,,,,,,,,,0,,,,,S,sols,,,75,0.568195,43.086701
2023-386838,2023-02-03,000001,Vente,31800,5,,RUE DU PARC,0128,31210,31390,Montréjeau,31,,,313900000C0500,,,59,,7,,,,,,,,2,2,Appartement,24,1,,,,,,0.571766,43.08477
2023-386838,2023-02-03,000001,Vente,31800,5,,RUE DU PARC,0128,31210,31390,Montréjeau,31,,,313900000C0500,,,59,,7,,,,,,,,2,3,Dépendance,,0,,,,,,0.571766,43.08477
2023-386859,2023-02-10,000001,Vente,176350,,,CHE DE LA METAIRIE DE NEOULAT,0111,31210,31390,Montréjeau,31,,,313900000B0889,,,,,,,,,,,,,0,1,Maison,89,3,AB,terrains a bâtir,,,1170,0.569746,43.091242
2023-386863,2023-02-10,000001,Vente,93000,16,A,RTE D AUSSON,0013,31210,31390,Montréjeau,31,,,313900000C1372,,,,,,,,,,,,,0,1,Maison,101,6,S,sols,,,1133,0.57569,43.083512
2023-386988,2023-02-06,000001,Vente,196000,18,,RUE DU VIEUX MOULIN,0174,31210,31390,Montréjeau,31,,,313900000B0693,,,,,,,,,,,,,0,1,Maison,84,5,J,jardins,,,1360,0.57937,43.082498
2023-386988,2023-02-06,000001,Vente,196000,18,,RUE DU VIEUX MOULIN,0174,31210,31390,Montréjeau,31,,,313900000B0693,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1360,0.57937,43.082498
2023-386988,2023-02-06,000001,Vente,196000,18,,RUE DU VIEUX MOULIN,0174,31210,31390,Montréjeau,31,,,313900000B0693,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1202,0.57937,43.082498
2023-386988,2023-02-06,000001,Vente,196000,18,,RUE DU VIEUX MOULIN,0174,31210,31390,Montréjeau,31,,,313900000B0693,,,,,,,,,,,,,0,1,Maison,84,5,S,sols,,,1202,0.57937,43.082498
2023-386988,2023-02-06,000001,Vente,196000,18,,RUE DU VIEUX MOULIN,0174,31210,31390,Montréjeau,31,,,313900000B0693,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1360,0.57937,43.082498
