id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-387359,2023-02-23,000001,Vente,56000,,,LUQUET,B034,31310,31474,Saint-Christaud,31,,,314740000A1122,,,,,,,,,,,,,0,,,,,P,prés,,,1600,1.109146,43.188156
2023-390534,2023-07-20,000001,Vente,150000,53,,VILLAGE,B053,31310,31474,Saint-Christaud,31,,,314740000C0119,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,780,1.128866,43.190159
2023-390534,2023-07-20,000001,Vente,150000,53,,VILLAGE,B053,31310,31474,Saint-Christaud,31,,,314740000C0119,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,780,1.128866,43.190159
2023-391749,2023-10-12,000001,Vente,2000,,,LA CARRAOU,B012,31310,31474,Saint-Christaud,31,,,314740000A0713,,,,,,,,,,,,,0,,,,,T,terres,,,3910,1.116822,43.189049
2023-391749,2023-10-12,000001,Vente,2000,,,LA CARRAOU,B012,31310,31474,Saint-Christaud,31,,,314740000A0713,,,,,,,,,,,,,0,,,,,L,landes,,,6315,1.116822,43.189049
2023-391749,2023-10-12,000001,Vente,2000,,,LA CARRAOU,B012,31310,31474,Saint-Christaud,31,,,314740000A0751,,,,,,,,,,,,,0,,,,,T,terres,,,1350,1.11412,43.188959
2023-391750,2023-10-12,000001,Vente,600,,,LA CARRAOU,B012,31310,31474,Saint-Christaud,31,,,314740000A0748,,,,,,,,,,,,,0,,,,,T,terres,,,1810,1.113847,43.189727
