id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-388963,2023-05-19,000001,Vente,1000,,,LAS PLATS,B015,31510,31009,Antichan-de-Frontignes,31,,,310090000A0653,,,,,,,,,,,,,0,,,,,P,prés,,,1070,0.661649,42.972508
2023-390908,2023-08-25,000001,Vente,5000,,,BERNADERE,B002,31510,31009,Antichan-de-Frontignes,31,,,310090000A0132,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,4885,0.66734,42.978593
2023-390908,2023-08-25,000001,Vente,5000,,,BERNADERE,B002,31510,31009,Antichan-de-Frontignes,31,,,310090000A0133,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,2330,0.667902,42.978725
2023-390908,2023-08-25,000001,Vente,5000,,,BERNADERE,B002,31510,31009,Antichan-de-Frontignes,31,,,310090000A0134,,,,,,,,,,,,,0,,,,,T,terres,,,3050,0.668297,42.978726
2023-390908,2023-08-25,000001,Vente,5000,,,BERNADERE,B002,31510,31009,Antichan-de-Frontignes,31,,,310090000A0135,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,1120,0.668519,42.978943
2023-392327,2023-11-15,000001,Vente,130000,3,,RUE TRAVERSIERE,0022,31510,31009,Antichan-de-Frontignes,31,,,310090000A0598,,,,,,,,,,,,,0,1,Maison,113,3,S,sols,,,360,0.66708,42.973284
