id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-386357,2023-01-11,000001,Vente,500,,,GAUSSIRAN,B012,31350,31398,Nizan-Gesse,31,,,31398000ZA0058,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,1417,0.583865,43.233047
2023-386357,2023-01-11,000001,Vente,500,,,CLOS DE GAUSSIRAN,B035,31350,31398,Nizan-Gesse,31,,,31398000ZA0065,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,1072,0.582888,43.227855
2023-386358,2023-01-11,000002,Vente,488,,,BECUDERE,B004,31350,31398,Nizan-Gesse,31,,,31398000ZC0084,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,370,0.601575,43.237643
2023-386358,2023-01-11,000002,Vente,488,,,TERRE ROUGE,B069,31350,31398,Nizan-Gesse,31,,,31398000ZI0060,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2072,0.575263,43.220393
2023-387384,2023-03-14,000001,Vente,87000,,,VILLAGE DE NIZAN,B024,31350,31398,Nizan-Gesse,31,,,31398000ZB0036,,,,,,,,,,,,,0,1,Maison,115,3,T,terres,,,8320,,
2023-387384,2023-03-14,000001,Vente,87000,,,VILLAGE DE NIZAN,B024,31350,31398,Nizan-Gesse,31,,,31398000ZB0036,,,,,,,,,,,,,0,1,Maison,115,3,T,terres,,,8320,,
2023-387384,2023-03-14,000001,Vente,87000,,,VILLAGE DE NIZAN,B024,31350,31398,Nizan-Gesse,31,,,31398000ZB0036,,,,,,,,,,,,,0,1,Maison,115,3,S,sols,,,1400,,
2023-388426,2023-05-09,000001,Vente,1100,,,PEOUILLE,B059,31350,31398,Nizan-Gesse,31,,,31398000ZI0072,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,5195,0.589585,43.223954
2023-392294,2023-10-27,000001,Vente,65000,,,VILLAGE DE NIZAN,B024,31350,31398,Nizan-Gesse,31,,,31398000ZB0213,,,,,,,,,,,,,0,1,Maison,115,3,S,sols,,,2351,0.598323,43.235999
2023-392431,2023-11-23,000001,Vente,88000,44,,BERNET,B029,31350,31398,Nizan-Gesse,31,,,31398000ZE0032,,,,,,,,,,,,,0,1,Maison,81,3,S,sols,,,455,0.599504,43.232295
