id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-387529,2023-03-10,000001,Vente,370110,305,,RUE DE LA GRANDE OURSE,0028,31420,31039,Bachas,31,,,31039000WC0067,,,,,,,,,,,,,0,1,Maison,198,6,AG,terrains d'agrément,,,4650,0.947766,43.247945
2023-387529,2023-03-10,000001,Vente,370110,305,,RUE DE LA GRANDE OURSE,0028,31420,31039,Bachas,31,,,31039000WC0067,,,,,,,,,,,,,0,1,Maison,198,6,S,sols,,,500,0.947766,43.247945
2023-387751,2023-02-14,000001,Vente,406000,,,LE VILLAGE,B021,31420,31039,Bachas,31,,,31039000WB0058,,,,,,,,,,,,,0,,,,,J,jardins,,,815,0.937019,43.242993
2023-387751,2023-02-14,000001,Vente,406000,,,LE VILLAGE,B021,31420,31039,Bachas,31,,,31039000WB0059,,,,,,,,,,,,,0,,,,,J,jardins,,,1220,0.937024,43.242618
2023-390977,2023-09-07,000001,Vente,35600,,,LES ENCLOS,B007,31420,31039,Bachas,31,,,31039000WC0002,,,,,,,,,,,,,0,,,,,S,sols,,,500,0.938599,43.24432
2023-390977,2023-09-07,000001,Vente,35600,,,LES ENCLOS,B007,31420,31039,Bachas,31,,,31039000WC0002,,,,,,,,,,,,,0,,,,,J,jardins,,,3250,0.938599,43.24432
2023-391370,2023-09-29,000001,Vente,140000,98,,RUE DU PIC DU MIDI,0022,31420,31039,Bachas,31,,,31039000WB0041,,,,,,,,,,,,,0,1,Maison,130,5,P,prés,,,5475,0.93543,43.243977
2023-391370,2023-09-29,000001,Vente,140000,98,,RUE DU PIC DU MIDI,0022,31420,31039,Bachas,31,,,31039000WB0041,,,,,,,,,,,,,0,1,Maison,130,5,S,sols,,,4000,0.93543,43.243977
2023-391370,2023-09-29,000001,Vente,140000,98,,RUE DU PIC DU MIDI,0022,31420,31039,Bachas,31,,,31039000WB0041,,,,,,,,,,,,,0,1,Maison,130,5,J,jardins,,,765,0.93543,43.243977
2023-391370,2023-09-29,000001,Vente,140000,98,,RUE DU PIC DU MIDI,0022,31420,31039,Bachas,31,,,31039000WB0041,,,,,,,,,,,,,0,1,Maison,130,5,T,terres,,,7260,0.93543,43.243977
