id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-387865,2023-04-12,000001,Vente,3000,,,LAS PICHORGOS,B025,31800,31536,Saux-et-Pomarède,31,,,315360000C0545,,,,,,,,,,,,,0,,,,,T,terres,,,4343,0.657758,43.145322
2023-387865,2023-04-12,000001,Vente,3000,,,LA LANDE-OUEST,B018,31800,31536,Saux-et-Pomarède,31,,,315360000C0583,,,,,,,,,,,,,0,,,,,T,terres,,,2883,0.657816,43.142611
2023-388314,2023-05-03,000001,Vente,42800,,,LOUXIS,B033,31800,31536,Saux-et-Pomarède,31,,,315360000B0493,,,,,,,,,,,,,0,,,,,T,terres,,,2359,0.703904,43.137152
2023-388314,2023-05-03,000001,Vente,42800,,,LOUXIS,B033,31800,31536,Saux-et-Pomarède,31,,,315360000B0494,,,,,,,,,,,,,0,,,,,T,terres,,,23,0.703602,43.137163
2023-389474,2023-06-15,000001,Vente,8000,,,LA GRANGE,B012,31800,31536,Saux-et-Pomarède,31,,,315360000B0129,,,,,,,,,,,,,0,,,,,T,terres,,,10010,0.70924,43.135205
2023-389832,2023-06-26,000001,Vente,11360,,,LASGRAVES,B028,31800,31536,Saux-et-Pomarède,31,,,315360000A0252,,,,,,,,,,,,,0,,,,,P,prés,,,12000,0.727279,43.150036
2023-389832,2023-06-26,000001,Vente,11360,,,LASGRAVES,B028,31800,31536,Saux-et-Pomarède,31,,,315360000A0253,,,,,,,,,,,,,0,,,,,T,terres,,,3514,0.727772,43.150182
2023-390966,2023-09-02,000002,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0863,,,,,,,,,,,,,0,,,,,T,terres,,,1717,0.68841,43.148713
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0865,,,,,,,,,,,,,0,,,,,T,terres,,,606,0.689842,43.148508
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0867,,,,,,,,,,,,,0,,,,,T,terres,,,326,0.690474,43.148391
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0869,,,,,,,,,,,,,0,,,,,T,terres,,,308,0.690964,43.148306
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0871,,,,,,,,,,,,,0,,,,,T,terres,,,458,0.691484,43.148203
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0873,,,,,,,,,,,,,0,,,,,T,terres,,,155,0.692015,43.148105
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0875,,,,,,,,,,,,,0,,,,,T,terres,,,153,0.692254,43.148061
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0877,,,,,,,,,,,,,0,,,,,T,terres,,,344,0.692612,43.147995
2023-390969,2023-09-02,000001,Vente,1,,,LACAY,B014,31800,31536,Saux-et-Pomarède,31,,,315360000C0879,,,,,,,,,,,,,0,,,,,T,terres,,,184,0.69305,43.147915
2023-390971,2023-09-02,000001,Vente,1,,,LE PONT,B039,31800,31536,Saux-et-Pomarède,31,,,315360000C0887,,,,,,,,,,,,,0,,,,,T,terres,,,224,0.696955,43.147208
2023-390971,2023-09-02,000001,Vente,1,34,,CHEM DU STADE,0063,31800,31536,Saux-et-Pomarède,31,,,315360000C0891,,,,,,,,,,,,,0,1,Maison,78,4,,,,,,0.697607,43.147107
2023-390974,2023-09-02,000001,Vente,1,,,LE PONT,B039,31800,31536,Saux-et-Pomarède,31,,,315360000C0889,,,,,,,,,,,,,0,,,,,T,terres,,,134,0.697263,43.147153
2023-390974,2023-09-02,000001,Vente,1,,,LE PONT,B039,31800,31536,Saux-et-Pomarède,31,,,315360000C0895,,,,,,,,,,,,,0,,,,,T,terres,,,336,0.6965,43.147291
2023-390974,2023-09-02,000001,Vente,1,,,LOUXIS,B033,31800,31536,Saux-et-Pomarède,31,,,315360000B0492,,,,,,,,,,,,,0,,,,,T,terres,,,58,0.704551,43.1365
2023-391103,2023-09-19,000001,Vente,300,,,LAS PICHORGOS,B025,31800,31536,Saux-et-Pomarède,31,,,315360000C0539,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,630,0.65985,43.14515
2023-391103,2023-09-19,000001,Vente,300,,,LAS PICHORGOS,B025,31800,31536,Saux-et-Pomarède,31,,,315360000C0540,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,3590,0.659811,43.145593
2023-391542,2023-09-23,000001,Vente,197000,1,,LOT LOTISSEMENT BELLEVUE,A002,31800,31536,Saux-et-Pomarède,31,,,315360000B0124,,,,,,,,,,,,,0,1,Maison,117,4,S,sols,,,549,0.706349,43.13539
2023-391542,2023-09-23,000001,Vente,197000,1,,LOT LOTISSEMENT BELLEVUE,A002,31800,31536,Saux-et-Pomarède,31,,,315360000B0124,,,,,,,,,,,,,0,1,Maison,117,4,AG,terrains d'agrément,PARC,Parc,1530,0.706349,43.13539
