id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-366530,2023-01-13,000001,Vente,132000,31,,RTE DE SAINT JORY,0008,31790,31516,Saint-Sauveur,31,,,315160000B1248,,,,,,,,,,,,,0,,,,,S,sols,,,73,1.394794,43.753964
2023-366530,2023-01-13,000001,Vente,132000,31,,RTE DE SAINT JORY,0008,31790,31516,Saint-Sauveur,31,,,315160000B1250,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1277,1.394709,43.753648
2023-366789,2023-02-15,000001,Vente,241200,4,T,CHE DE LA RIVIERE,0002,31790,31516,Saint-Sauveur,31,,,315160000A1753,,,,,,,,,,,,,0,1,Maison,94,5,S,sols,,,900,1.401875,43.751361
2023-366789,2023-02-15,000001,Vente,241200,,,LA BORDETTE,B003,31790,31516,Saint-Sauveur,31,,,315160000A1755,,,,,,,,,,,,,0,,,,,S,sols,,,98,1.401926,43.751217
2023-367037,2023-02-15,000001,Vente,145000,,,LA CASTELLANE,B007,31790,31516,Saint-Sauveur,31,,,315160000A2175,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,581,1.401632,43.74579
2023-367037,2023-02-15,000001,Vente,145000,,,LA CASTELLANE,B007,31790,31516,Saint-Sauveur,31,,,315160000A2176,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,34,1.401724,43.745723
2023-367037,2023-02-15,000001,Vente,145000,,,LA CASTELLANE,B007,31790,31516,Saint-Sauveur,31,,,315160000A2181,,,,,,,,,,,,,0,,,,,P,prés,,,27,1.401735,43.745712
2023-367042,2023-01-30,000002,Vente,100000,,,LES MOULINASSES,B020,31790,31516,Saint-Sauveur,31,,,315160000A2275,,,,,,,,,,,,,0,,,,,T,terres,,,2605,1.401457,43.743737
2023-367333,2023-01-30,000001,Vente,111000,,,LES MOULINASSES,B020,31790,31516,Saint-Sauveur,31,,,315160000A2274,,,,,,,,,,,,,0,,,,,T,terres,,,1860,1.400472,43.743025
2023-367333,2023-01-30,000001,Vente,111000,,,LES MOULINASSES,B020,31790,31516,Saint-Sauveur,31,,,315160000A2276,,,,,,,,,,,,,0,,,,,T,terres,,,779,1.400451,43.74282
2023-367875,2023-02-17,000001,Vente,64050,5,,LE VILLAGE,B028,31790,31516,Saint-Sauveur,31,,,315160000A0286,,,,,,,,,,,,,0,1,Maison,30,2,S,sols,,,65,1.401164,43.750181
2023-368729,2023-02-27,000001,Vente,186014,,,LES PERIERES,B023,31790,31516,Saint-Sauveur,31,,,315160000B0933,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,RUE,Rue,737,1.393026,43.747908
2023-368729,2023-02-27,000001,Vente,186014,,,LES PERIERES,B023,31790,31516,Saint-Sauveur,31,,,315160000B0934,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,RUE,Rue,63,1.393585,43.746852
2023-368729,2023-02-27,000001,Vente,186014,,,LES PERIERES,B023,31790,31516,Saint-Sauveur,31,,,315160000B0935,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,RUE,Rue,863,1.393254,43.747228
2023-368729,2023-02-27,000001,Vente,186014,105,,IMP DES GIROLLES,0355,31790,31516,Saint-Sauveur,31,,,315160000B1158,,,,,,,,,,,,,0,1,Maison,150,5,AG,terrains d'agrément,PARC,Parc,512,1.392986,43.747251
2023-368729,2023-02-27,000001,Vente,186014,105,,IMP DES GIROLLES,0355,31790,31516,Saint-Sauveur,31,,,315160000B1158,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,1000,1.392986,43.747251
2023-368729,2023-02-27,000001,Vente,186014,30,,CHE DU BOUGENG,0011,31790,31516,Saint-Sauveur,31,,,315160000B1159,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,301,1.393118,43.747302
2023-370220,2023-04-04,000001,Vente terrain à bâtir,133980,,,GLEIZES,B015,31790,31516,Saint-Sauveur,31,,,315160000B1240,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,609,1.397165,43.751284
2023-370599,2023-04-11,000001,Vente,126720,,,GLEIZES,B015,31790,31516,Saint-Sauveur,31,,,315160000B1238,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,576,1.396784,43.7511
2023-372075,2023-05-12,000001,Vente,155000,,,LA FIOU,B013,31790,31516,Saint-Sauveur,31,,,315160000A2224,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1146,1.402349,43.74429
2023-372464,2023-05-02,000001,Vente,1,,,LE VILLAGE,B028,31790,31516,Saint-Sauveur,31,,,315160000A1690,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,146,1.404655,43.750165
2023-373365,2023-05-24,000001,Vente,635000,21,,CHE DE LA PALANQUETTE,0033,31790,31516,Saint-Sauveur,31,,,315160000A1175,,,,,,,,,,,,,0,,,,,S,sols,,,1068,1.401404,43.74414
2023-373365,2023-05-24,000001,Vente,635000,853,,CHE DE LA PALANQUETTE,0033,31790,31516,Saint-Sauveur,31,,,315160000A2245,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1404,0,AG,terrains d'agrément,PARC,Parc,869,1.401165,43.744382
2023-373365,2023-05-24,000001,Vente,635000,853,,CHE DE LA PALANQUETTE,0033,31790,31516,Saint-Sauveur,31,,,315160000A2245,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1404,0,S,sols,,,500,1.401165,43.744382
2023-374607,2023-06-09,000001,Vente,205000,154,A,LE VILLAGE,B028,31790,31516,Saint-Sauveur,31,,,315160000A0244,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,335,1.40262,43.748775
2023-374607,2023-06-09,000001,Vente,205000,154,A,LE VILLAGE,B028,31790,31516,Saint-Sauveur,31,,,315160000A0244,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,335,1.40262,43.748775
2023-374607,2023-06-09,000001,Vente,205000,154,,LE VILLAGE,B028,31790,31516,Saint-Sauveur,31,,,315160000A0741,,,,,,,,,,,,,0,2,Appartement,70,4,S,sols,,,180,1.402686,43.748859
2023-374607,2023-06-09,000001,Vente,205000,154,,LE VILLAGE,B028,31790,31516,Saint-Sauveur,31,,,315160000A0741,,,,,,,,,,,,,0,2,Appartement,70,4,S,sols,,,180,1.402686,43.748859
2023-374648,2023-06-30,000001,Vente,430000,,,PELLOUBI,B022,31790,31516,Saint-Sauveur,31,,,315160000A2124,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,258,1.408755,43.744894
2023-374648,2023-06-30,000001,Vente,430000,44,,CHE DES BOIS,0010,31790,31516,Saint-Sauveur,31,,,315160000A2125,,,,,,,,,,,,,0,1,Maison,137,5,S,sols,,,2461,1.40843,43.744839
2023-374648,2023-06-30,000001,Vente,430000,44,,CHE DES BOIS,0010,31790,31516,Saint-Sauveur,31,,,315160000A2125,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,2461,1.40843,43.744839
2023-375005,2023-06-14,000001,Vente,270000,172,,CHE DES BOIS,0010,31790,31516,Saint-Sauveur,31,,,315160000A1347,,,,,,,,,,,,,0,1,Maison,101,5,J,jardins,,,1315,1.408173,43.74747
2023-375005,2023-06-14,000001,Vente,270000,172,,CHE DES BOIS,0010,31790,31516,Saint-Sauveur,31,,,315160000A1347,,,,,,,,,,,,,0,1,Maison,101,5,S,sols,,,1000,1.408173,43.74747
2023-376253,2023-07-06,000001,Vente en l'état futur d'achèvement,210900,,,CANTEGRIL,B006,31790,31516,Saint-Sauveur,31,,,315160000A2256,,,6,,,,,,,,,,1,,,,,,,,,,1.408144,43.755738
2023-376253,2023-07-06,000001,Vente en l'état futur d'achèvement,210900,,,CANTEGRIL,B006,31790,31516,Saint-Sauveur,31,,,315160000A2256,,,21,,,,,,,,,,1,,,,,,,,,,1.408144,43.755738
2023-377917,2023-07-31,000001,Vente,509816,217,,CHE DE BORDEVIEILLE,0015,31790,31516,Saint-Sauveur,31,,,31516000ZB0136,,,,,,,,,,,,,0,1,Maison,159,4,AG,terrains d'agrément,PARC,Parc,1500,1.393033,43.756911
2023-377917,2023-07-31,000001,Vente,509816,217,,CHE DE BORDEVIEILLE,0015,31790,31516,Saint-Sauveur,31,,,31516000ZB0136,,,,,,,,,,,,,0,1,Maison,159,4,S,sols,,,1000,1.393033,43.756911
2023-378610,2023-08-29,000001,Vente,445000,139,,CHE DU MOULIN,0007,31790,31516,Saint-Sauveur,31,,,315160000B1209,,,,,,,,,,,,,0,1,Maison,135,4,S,sols,,,1143,1.396264,43.744448
2023-378610,2023-08-29,000001,Vente,445000,7,,CHE DU MOULIN,0007,31790,31516,Saint-Sauveur,31,,,315160000B1210,,,,,,,,,,,,,0,,,,,S,sols,,,17,1.396554,43.744903
2023-378795,2023-04-20,000001,Adjudication,334000,463,,CHE DE CANET,0023,31790,31516,Saint-Sauveur,31,,,315160000B1124,,,,,,,,,,,,,0,1,Maison,135,5,S,sols,,,1000,1.400519,43.739142
2023-378795,2023-04-20,000001,Adjudication,334000,463,,CHE DE CANET,0023,31790,31516,Saint-Sauveur,31,,,315160000B1124,,,,,,,,,,,,,0,1,Maison,135,5,AG,terrains d'agrément,PARC,Parc,1066,1.400519,43.739142
2023-379104,2023-08-18,000001,Vente,375100,9,B,RTE DE CEPET,0009,31790,31516,Saint-Sauveur,31,,,315160000A1944,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1729,1.409338,43.753145
2023-379104,2023-08-18,000001,Vente,375100,9,B,RTE DE CEPET,0009,31790,31516,Saint-Sauveur,31,,,315160000A1944,,,,,,,,,,,,,0,1,Maison,85,4,S,sols,,,1729,1.409338,43.753145
2023-379104,2023-08-18,000001,Vente,375100,9,B,RTE DE CEPET,0009,31790,31516,Saint-Sauveur,31,,,315160000A1944,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1729,1.409338,43.753145
2023-379378,2023-08-25,000001,Vente,50000,,,LA CASTELLANE,B007,31790,31516,Saint-Sauveur,31,,,315160000A2208,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,548,1.397312,43.746653
2023-379378,2023-08-25,000001,Vente,50000,,,LA CASTELLANE,B007,31790,31516,Saint-Sauveur,31,,,315160000A2211,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,242,1.396908,43.746761
2023-379591,2023-09-15,000001,Vente,1,,,LES MOULINASSES,B020,31790,31516,Saint-Sauveur,31,,,315160000A0014,,,,,,,,,,,,,0,,,,,T,terres,,,2300,1.403505,43.741034
2023-379591,2023-09-15,000001,Vente,1,,,LES MOULINASSES,B020,31790,31516,Saint-Sauveur,31,,,315160000A0015,,,,,,,,,,,,,0,,,,,T,terres,,,480,1.404419,43.741674
2023-379591,2023-09-15,000001,Vente,1,,,LES MOULINASSES,B020,31790,31516,Saint-Sauveur,31,,,315160000A0063,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,650,1.407899,43.742059
2023-380803,2023-10-02,000001,Vente,299000,,,CHARROULES,B009,31790,31516,Saint-Sauveur,31,,,31516000ZC0102,,,,,,,,,,,,,0,,,,,S,sols,,,106,1.38349,43.752226
2023-380803,2023-10-02,000001,Vente,299000,136,,CHARROULES,B009,31790,31516,Saint-Sauveur,31,,,31516000ZC0103,,,,,,,,,,,,,0,1,Maison,130,4,S,sols,,,897,1.38386,43.752351
2023-380803,2023-10-02,000001,Vente,299000,,,CHARROULES,B009,31790,31516,Saint-Sauveur,31,,,31516000ZC0104,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,706,1.383596,43.75219
2023-380883,2023-09-25,000001,Vente terrain à bâtir,129000,,,IMP DU BOUGENG,0024,31790,31516,Saint-Sauveur,31,,,315160000B0629,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,RUE,Rue,470,1.395692,43.748735
2023-383822,2023-12-06,000001,Vente,95000,,,LA BORDETTE,B003,31790,31516,Saint-Sauveur,31,,,315160000A2214,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,863,1.406285,43.752374
2023-384295,2023-11-21,000001,Vente,97000,,,LA RIVIERE,B025,31790,31516,Saint-Sauveur,31,,,315160000A2265,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,406,1.406123,43.756141
2023-384295,2023-11-21,000001,Vente,97000,,,LA RIVIERE,B025,31790,31516,Saint-Sauveur,31,,,315160000A2268,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1268,1.406366,43.755947
2023-384295,2023-11-21,000001,Vente,97000,,,LA RIVIERE,B025,31790,31516,Saint-Sauveur,31,,,315160000A2270,,,,,,,,,,,,,0,,,,,S,sols,,,64,1.406493,43.755637
2023-385925,2023-12-29,000001,Vente,280000,155,,CHE DU MOULIN,0007,31790,31516,Saint-Sauveur,31,,,315160000B0905,,,,,,,,,,,,,0,1,Maison,239,9,S,sols,,,1000,1.396087,43.744756
2023-385925,2023-12-29,000001,Vente,280000,155,,CHE DU MOULIN,0007,31790,31516,Saint-Sauveur,31,,,315160000B0905,,,,,,,,,,,,,0,1,Maison,239,9,AG,terrains d'agrément,PARC,Parc,1513,1.396087,43.744756
2023-385925,2023-12-29,000001,Vente,280000,155,,CHE DU MOULIN,0007,31790,31516,Saint-Sauveur,31,,,315160000B0905,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,PARC,Parc,1513,1.396087,43.744756
2023-385925,2023-12-29,000001,Vente,280000,155,,CHE DU MOULIN,0007,31790,31516,Saint-Sauveur,31,,,315160000B0905,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,1.396087,43.744756
