id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-386350,2023-01-06,000001,Vente,166000,95,A,MILLET,B119,31870,31052,Beaumont-sur-Lèze,31,,,31052000AM0732,,,,,,,,,,,,,0,1,Maison,57,3,S,sols,,,1000,1.360587,43.382192
2023-386350,2023-01-06,000001,Vente,166000,95,A,MILLET,B119,31870,31052,Beaumont-sur-Lèze,31,,,31052000AM0732,,,,,,,,,,,,,0,1,Maison,57,3,J,jardins,,,232,1.360587,43.382192
2023-387423,2023-02-27,000001,Vente,335211,25,,CHE DE CANTEMERLE,0045,31870,31052,Beaumont-sur-Lèze,31,,,31052000AZ0314,,,,,,,,,,,,,0,1,Maison,110,4,S,sols,,,769,1.360493,43.379475
2023-387476,2023-03-10,000001,Vente,45000,,,LE BESI SUD,B013,31870,31052,Beaumont-sur-Lèze,31,,,31052000AY0371,,,,,,,,,,,,,0,,,,,T,terres,,,54658,1.360205,43.369934
2023-387571,2023-02-23,000001,Vente,31300,,,LAS MORTOS,B088,31870,31052,Beaumont-sur-Lèze,31,,,31052000AR0239,,,,,,,,,,,,,0,,,,,T,terres,,,18173,1.364505,43.361908
2023-387571,2023-02-23,000001,Vente,31300,,,LE BAYLE,B008,31870,31052,Beaumont-sur-Lèze,31,,,31052000AS0132,,,,,,,,,,,,,0,,,,,T,terres,,,12925,1.366759,43.360607
2023-387577,2023-02-23,000001,Vente,4500,,,MANDIL,B105,31870,31052,Beaumont-sur-Lèze,31,,,31052000AS0032,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,7585,1.36795,43.360034
2023-387577,2023-02-23,000001,Vente,4500,,,MAILHOLAS,B100,31870,31052,Beaumont-sur-Lèze,31,,,31052000AS0159,,,,,,,,,,,,,0,,,,,T,terres,,,3100,1.365488,43.357956
2023-387578,2023-02-23,000001,Vente,100400,,,MANDIL,B105,31870,31052,Beaumont-sur-Lèze,31,,,31052000AS0034,,,,,,,,,,,,,0,,,,,T,terres,,,37480,1.369619,43.358954
2023-387578,2023-02-23,000001,Vente,100400,,,TALAI,B167,31870,31052,Beaumont-sur-Lèze,31,,,31052000AY0343,,,,,,,,,,,,,0,,,,,T,terres,,,62021,1.362144,43.362907
2023-387678,2023-02-23,000001,Vente,29100,,,COUSINET,B056,31870,31052,Beaumont-sur-Lèze,31,,,31052000AY0120,,,,,,,,,,,,,0,,,,,T,terres,,,1340,1.357135,43.363081
2023-387678,2023-02-23,000001,Vente,29100,,,SAINT JEAN,B159,31870,31052,Beaumont-sur-Lèze,31,,,31052000AY0346,,,,,,,,,,,,,0,,,,,T,terres,,,11805,1.362569,43.364562
2023-387678,2023-02-23,000001,Vente,29100,,,MOUILHAS,B123,31870,31052,Beaumont-sur-Lèze,31,,,31052000WA0014,,,,,,,,,,,,,0,,,,,T,terres,,,16565,1.364351,43.393615
2023-387699,2023-03-27,000001,Echange,1500,,,LE PARAYRE,B131,31870,31052,Beaumont-sur-Lèze,31,,,31052000BI0161,,,,,,,,,,,,,0,,,,,T,terres,,,1420,1.335582,43.377564
2023-387699,2023-03-27,000002,Echange,1500,,,LA TRIMOULETTO,B175,31870,31052,Beaumont-sur-Lèze,31,,,31052000BI0264,,,,,,,,,,,,,0,,,,,T,terres,,,2076,1.339408,43.377172
