id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-365204,2023-01-09,000001,Vente,249839,26,,IMP LAFFAGE,0206,31330,31341,Merville,31,,,313410000C2119,,,,,,,,,,,,,0,1,Maison,81,4,S,sols,,,121,,
2023-365204,2023-01-09,000001,Vente,249839,26,,IMP LAFFAGE,0206,31330,31341,Merville,31,,,313410000C2139,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,13,,
2023-365204,2023-01-09,000001,Vente,249839,,,LAFFAGE,B067,31330,31341,Merville,31,,,313410000C2147,,,,,,,,,,,,,0,,,,,S,sols,,,6,,
2023-365760,2023-01-20,000001,Vente,118000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3045,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,96,,
2023-365760,2023-01-20,000001,Vente,118000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3135,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,545,,
2023-365847,2023-01-21,000001,Vente,114000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3046,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,14,,
2023-365847,2023-01-21,000001,Vente,114000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3136,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,527,,
2023-365944,2023-01-17,000001,Vente,95000,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,11,43.01,,,,,,,,,1,2,Appartement,42,2,,,,,,,
2023-365944,2023-01-17,000001,Vente,95000,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,174,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2023-366169,2023-01-06,000002,Vente,238900,870,,RTE D AUSSONNE D 65,0010,31330,31341,Merville,31,,,313410000E3209,,,,,,,,,,,,,0,1,Maison,99,4,,,,,,,
2023-366169,2023-01-06,000002,Vente,238900,870,,RTE D AUSSONNE D 65,0010,31330,31341,Merville,31,,,313410000E3209,,,,,,,,,,,,,0,3,Dépendance,,0,,,,,,,
2023-366169,2023-01-06,000002,Vente,238900,870,,RTE D AUSSONNE D 65,0010,31330,31341,Merville,31,,,313410000E3209,,,,,,,,,,,,,0,3,Dépendance,,0,,,,,,,
2023-366406,2023-01-31,000001,Vente,199000,33,,RUE DE RAMBEAU,0190,31330,31341,Merville,31,,,313410000E0195,,,36,62.6,,,,,,,,,1,2,Appartement,63,3,,,,,,,
2023-366406,2023-01-31,000001,Vente,199000,33,,RUE DE RAMBEAU,0190,31330,31341,Merville,31,,,313410000E0195,,,107,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2023-366406,2023-01-31,000001,Vente,199000,33,,RUE DE RAMBEAU,0190,31330,31341,Merville,31,,,313410000E0195,,,108,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2023-366640,2023-02-02,000001,Vente,114000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3057,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,531,,
2023-366736,2023-02-09,000001,Vente,103000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3119,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,453,,
2023-366772,2023-01-19,000001,Vente,160000,,,CAMP DE BARROT,B018,31330,31341,Merville,31,,,313410000D1033,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1553,,
2023-367182,2023-02-06,000001,Vente,165000,1589,T,RTE DE LA COTE ROUGE,0055,31330,31341,Merville,31,,,313410000B1803,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,811,1.308619,43.737809
2023-367464,2023-02-10,000001,Vente,210000,48,,RUE DES JARDINS,0180,31330,31341,Merville,31,,,313410000E2370,,,,,,,,,,,,,0,1,Maison,84,5,S,sols,,,100,,
2023-367464,2023-02-10,000001,Vente,210000,,,VILLAGE,B134,31330,31341,Merville,31,,,313410000E2374,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,83,,
2023-367464,2023-02-10,000001,Vente,210000,,,VILLAGE,B134,31330,31341,Merville,31,,,313410000E2377,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,7,,
2023-367644,2023-02-24,000001,Vente,215000,1820,B,RTE DE GUINOT,0135,31330,31341,Merville,31,,,313410000C2453,,,,,,,,,,,,,0,1,Maison,63,3,S,sols,,,705,,
2023-367644,2023-02-24,000001,Vente,215000,,,RTE DE GUINOT,0135,31330,31341,Merville,31,,,313410000C2454,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,504,,
2023-367833,2023-02-22,000001,Vente,99000,5,,IMP DES PETITES AFFISES,0301,31330,31341,Merville,31,,,313410000C2091,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,670,,
2023-367930,2023-02-16,000001,Vente,120000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3054,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1,,
2023-367930,2023-02-16,000001,Vente,120000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3145,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,700,,
2023-367932,2023-02-16,000001,Vente,111000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3049,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,116,,
2023-367932,2023-02-16,000001,Vente,111000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3155,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,397,,
2023-367938,2023-02-21,000001,Vente,107000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3137,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,483,,
2023-368023,2023-02-21,000001,Vente,115000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3055,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,531,,
2023-368023,2023-02-21,000001,Vente,115000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3146,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,55,,
2023-368101,2023-02-22,000001,Vente,107000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3159,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,449,,
2023-368107,2023-02-22,000001,Vente,109000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3059,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,493,,
2023-368236,2023-03-08,000001,Vente,401100,80,,CHE DU MOULIN,0251,31330,31341,Merville,31,,,313410000E0855,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1190,,
2023-368236,2023-03-08,000001,Vente,401100,80,,CHE DU MOULIN,0251,31330,31341,Merville,31,,,313410000E0855,,,,,,,,,,,,,0,1,Maison,120,5,S,sols,,,1190,,
2023-368710,2023-02-23,000001,Vente,236000,422,,CHE DU BOIS BEILLARD,0030,31330,31341,Merville,31,,,313410000C0851,,,,,,,,,,,,,0,1,Maison,87,5,S,sols,,,612,1.258546,43.726814
2023-368710,2023-02-23,000001,Vente,236000,422,,CHE DU BOIS BEILLARD,0030,31330,31341,Merville,31,,,313410000C0851,,,,,,,,,,,,,0,3,Dépendance,,0,T,terres,,,1393,1.258546,43.726814
2023-368710,2023-02-23,000001,Vente,236000,422,,CHE DU BOIS BEILLARD,0030,31330,31341,Merville,31,,,313410000C0851,,,,,,,,,,,,,0,1,Maison,87,5,T,terres,,,1393,1.258546,43.726814
2023-368710,2023-02-23,000001,Vente,236000,422,,CHE DU BOIS BEILLARD,0030,31330,31341,Merville,31,,,313410000C0851,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,612,1.258546,43.726814
2023-368858,2023-03-16,000003,Vente,322700,674,,CHE DE DUCROS,0075,31330,31341,Merville,31,,,313410000B1838,,,,,,,,,,,,,0,1,Maison,45,2,,,,,,1.299306,43.734347
2023-368858,2023-03-16,000003,Vente,322700,674,,CHE DE DUCROS,0075,31330,31341,Merville,31,,,313410000B1838,,,,,,,,,,,,,0,3,Dépendance,,0,,,,,,1.299306,43.734347
2023-368858,2023-03-16,000003,Vente,322700,674,,CHE DE DUCROS,0075,31330,31341,Merville,31,,,313410000B1838,,,,,,,,,,,,,0,1,Maison,106,4,,,,,,1.299306,43.734347
2023-368927,2023-03-15,000001,Vente,210000,19,,IMP DES ECUREUILS,0079,31330,31341,Merville,31,,,313410000E2618,,,5,81.29,,,,,,,,,1,1,Maison,81,4,,,,,,,
2023-369098,2023-03-08,000001,Vente,117000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3044,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,189,,
2023-369098,2023-03-08,000001,Vente,117000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3134,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,393,,
2023-369102,2023-03-17,000001,Vente,111000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3058,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,516,,
2023-369106,2023-03-07,000001,Vente,103000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3040,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,158,,
2023-369106,2023-03-07,000001,Vente,103000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3153,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,290,,
2023-369115,2023-03-16,000001,Vente,30000,657,,RTE DE DAUX D 37,0065,31330,31341,Merville,31,,,313410000E3169,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,392,,
2023-369214,2023-03-23,000001,Vente,317000,195,,RTE DE LA COTE ROUGE,0055,31330,31341,Merville,31,,,313410000B0961,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1040,,
2023-369214,2023-03-23,000001,Vente,317000,195,,RTE DE LA COTE ROUGE,0055,31330,31341,Merville,31,,,313410000B0961,,,,,,,,,,,,,0,1,Maison,88,5,S,sols,,,1040,,
2023-369631,2023-03-24,000001,Vente,210000,8,,IMP LAFFAGE,0206,31330,31341,Merville,31,,,313410000C2124,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,13,,
2023-369631,2023-03-24,000001,Vente,210000,8,,IMP LAFFAGE,0206,31330,31341,Merville,31,,,313410000C2134,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,122,,
2023-369631,2023-03-24,000001,Vente,210000,,,LAFFAGE,B067,31330,31341,Merville,31,,,313410000C2147,,,,,,,,,,,,,0,,,,,S,sols,,,6,,
2023-369651,2023-03-29,000002,Vente,500,,,CAZASSUS,B029,31330,31341,Merville,31,,,313410000F1293,,,,,,,,,,,,,0,,,,,T,terres,,,35,,
2023-369666,2023-03-30,000001,Vente,98000,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,138,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2023-369666,2023-03-30,000001,Vente,98000,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,47,,,,,,,,,,1,2,Appartement,41,2,,,,,,,
2023-369836,2023-03-29,000001,Vente,107000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3037,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,134,,
2023-369836,2023-03-29,000001,Vente,107000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3150,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,379,,
2023-370179,2023-04-06,000001,Vente,405000,647,,RTE DE DAUX D 37,0065,31330,31341,Merville,31,,,313410000E3168,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,631,,
2023-370179,2023-04-06,000001,Vente,405000,647,,RTE DE DAUX D 37,0065,31330,31341,Merville,31,,,313410000E3168,,,,,,,,,,,,,0,1,Maison,126,5,S,sols,,,631,,
2023-370200,2023-04-13,000001,Vente,105000,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,244,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2023-370200,2023-04-13,000001,Vente,105000,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,261,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2023-370200,2023-04-13,000001,Vente,105000,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,105,42.65,,,,,,,,,1,2,Appartement,42,2,,,,,,,
2023-370850,2023-04-12,000001,Vente,103000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3039,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,156,,
2023-370850,2023-04-12,000001,Vente,103000,,,PEYROULET,B098,31330,31341,Merville,31,,,313410000E3152,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,309,,
2023-370890,2023-04-12,000001,Vente,109000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3060,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,494,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3050,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,4645,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3051,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,554,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3052,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,147,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3053,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,294,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3062,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,447,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3063,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,446,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3064,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,446,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3065,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,428,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3066,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,425,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3067,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,447,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3068,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,447,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3069,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,447,,
2023-370895,2023-04-11,000001,Vente,1800000,,,LA PEYROUSE,B099,31330,31341,Merville,31,,,313410000E3070,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,500,,
