id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-366230,2023-01-13,000001,Vente,375500,29,,RUE DES MIMOSAS,0250,31850,31053,Beaupuy,31,,,31053000AB0101,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,24,0,S,sols,,,460,1.558687,43.648183
2023-366230,2023-01-13,000001,Vente,375500,29,,RUE DES MIMOSAS,0250,31850,31053,Beaupuy,31,,,31053000AB0101,,,,,,,,,,,,,0,1,Maison,125,5,S,sols,,,460,1.558687,43.648183
2023-375799,2023-07-03,000001,Vente,150000,,,CHE DE BELPECH,0019,31850,31053,Beaupuy,31,,,310530000A0622,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,975,1.551053,43.650322
2023-377152,2023-07-13,000001,Vente,650000,26,,RUE LAFAYETTE,0200,31850,31053,Beaupuy,31,,,31053000AC0072,,,,,,,,,,,,,0,1,Maison,226,8,AG,terrains d'agrément,PARC,Parc,702,1.562175,43.643143
2023-377152,2023-07-13,000001,Vente,650000,26,,RUE LAFAYETTE,0200,31850,31053,Beaupuy,31,,,31053000AC0072,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,PARC,Parc,702,1.562175,43.643143
2023-377152,2023-07-13,000001,Vente,650000,26,,RUE LAFAYETTE,0200,31850,31053,Beaupuy,31,,,31053000AC0072,,,,,,,,,,,,,0,1,Maison,226,8,S,sols,,,1000,1.562175,43.643143
2023-377152,2023-07-13,000001,Vente,650000,26,,RUE LAFAYETTE,0200,31850,31053,Beaupuy,31,,,31053000AC0072,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,1.562175,43.643143
2023-382954,2023-11-17,000001,Vente,330000,,,COLOMBIER,B014,31850,31053,Beaupuy,31,,,31053000AD0025,,,,,,,,,,,,,0,,,,,T,terres,,,4658,1.552897,43.645493
2023-383996,2023-12-11,000001,Vente,344800,10,,RUE BEAUMARCHAIS,0015,31850,31053,Beaupuy,31,,,31053000AC0090,,,,,,,,,,,,,0,1,Maison,100,4,S,sols,,,989,1.558669,43.644787
