id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-365227,2023-01-13,000001,Vente,179000,8,B,AV SE CANTO,0203,31320,31113,Castanet-Tolosan,31,,,31113000BR0209,,,11,,,,,,,,,,1,2,Appartement,47,2,,,,,,1.510454,43.512325
2023-365227,2023-01-13,000001,Vente,179000,8,B,AV SE CANTO,0203,31320,31113,Castanet-Tolosan,31,,,31113000BR0209,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.510454,43.512325
2023-365423,2023-01-10,000001,Vente,128300,11,,AV DE TOULOUSE,0970,31320,31113,Castanet-Tolosan,31,,,31113000CD0006,,,17,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.49901,43.516299
2023-365423,2023-01-10,000001,Vente,128300,11,,AV DE TOULOUSE,0970,31320,31113,Castanet-Tolosan,31,,,31113000CD0006,,,17,,,,,,,,,,1,2,Appartement,33,1,,,,,,1.49901,43.516299
2023-365492,2023-01-16,000001,Vente,15000,8,B,AV SE CANTO,0203,31320,31113,Castanet-Tolosan,31,,,31113000BR0209,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.510454,43.512325
2023-365691,2023-01-06,000001,Vente,311000,19,,RUE CAMILLE CLAUDEL,0196,31320,31113,Castanet-Tolosan,31,,,31113000BB0015,,,,,,,,,,,,,0,1,Maison,85,3,S,sols,,,461,1.496358,43.525518
2023-365696,2023-01-20,000001,Vente,359000,31,,AV DU DOCTEUR LOUIS DELHERM,0650,31320,31113,Castanet-Tolosan,31,,,31113000BA0293,,,,,,,,,,,,,0,1,Maison,90,4,S,sols,,,291,1.49028,43.521959
2023-365729,2023-01-10,000001,Vente,260000,11,,RUE AUGUSTE RENOIR,0120,31320,31113,Castanet-Tolosan,31,,,31113000BO0278,,,,,,,,,,,,,0,1,Maison,110,5,S,sols,,,592,1.503513,43.51819
2023-365729,2023-01-10,000001,Vente,260000,11,,RUE AUGUSTE RENOIR,0120,31320,31113,Castanet-Tolosan,31,,,31113000BO0278,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,592,1.503513,43.51819
2023-365732,2023-01-10,000001,Vente,188500,6,,PL CLEMENCE ISAURE,0255,31320,31113,Castanet-Tolosan,31,,,31113000BP0023,,,12,,85,,,,,,,,2,3,Dépendance,,0,,,,,,1.508182,43.517199
2023-365732,2023-01-10,000001,Vente,188500,6,,PL CLEMENCE ISAURE,0255,31320,31113,Castanet-Tolosan,31,,,31113000BP0023,,,12,,85,,,,,,,,2,2,Appartement,72,3,,,,,,1.508182,43.517199
2023-365734,2023-01-11,000001,Vente,143420,1,T,RUE GEORGES VALLEREY,0450,31320,31113,Castanet-Tolosan,31,,,31113000BA0249,,,413,,519,,,,,,,,2,3,Dépendance,,0,,,,,,1.493041,43.521987
2023-365734,2023-01-11,000001,Vente,143420,1,T,RUE GEORGES VALLEREY,0450,31320,31113,Castanet-Tolosan,31,,,31113000BA0249,,,413,,519,,,,,,,,2,2,Appartement,45,2,,,,,,1.493041,43.521987
2023-365777,2023-01-12,000001,Vente,259125,,,BORDENEUVE,B004,31320,31113,Castanet-Tolosan,31,,,31113000BE0045,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1936,1.521948,43.516585
2023-365777,2023-01-12,000001,Vente,259125,,,BORDENEUVE,B004,31320,31113,Castanet-Tolosan,31,,,31113000BE0058,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1085,1.522228,43.516776
2023-365784,2023-01-18,000001,Vente,217332,3,,AV SE CANTO,0203,31320,31113,Castanet-Tolosan,31,,,31113000BL0239,,,41,66.39,,,,,,,,,1,2,Appartement,65,3,,,,,,1.511291,43.512073
2023-365784,2023-01-18,000001,Vente,217332,3,,AV SE CANTO,0203,31320,31113,Castanet-Tolosan,31,,,31113000BL0239,,,41,66.39,,,,,,,,,1,3,Dépendance,,0,,,,,,1.511291,43.512073
