id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-386451,2023-01-07,000001,Vente en l'état futur d'achèvement,190680,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,44,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386451,2023-01-07,000001,Vente en l'état futur d'achèvement,190680,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,37,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386451,2023-01-07,000001,Vente en l'état futur d'achèvement,190680,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,12,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386477,2023-01-14,000001,Vente en l'état futur d'achèvement,278550,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,23,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386477,2023-01-14,000001,Vente en l'état futur d'achèvement,278550,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,41,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386477,2023-01-14,000001,Vente en l'état futur d'achèvement,278550,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,6,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386517,2023-01-05,000001,Vente,90000,49,,AV DU PORTILLON,0009,31110,31500,Saint-Mamet,31,,,31500000AC0063,,,160,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.604669,42.778365
2023-386517,2023-01-05,000001,Vente,90000,49,,AV DU PORTILLON,0009,31110,31500,Saint-Mamet,31,,,31500000AC0063,,,44,,,,,,,,,,1,2,Appartement,31,2,,,,,,0.604669,42.778365
2023-386517,2023-01-05,000001,Vente,90000,49,,AV DU PORTILLON,0009,31110,31500,Saint-Mamet,31,,,31500000AC0063,,,161,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.604669,42.778365
2023-386541,2023-01-19,000001,Vente en l'état futur d'achèvement,179000,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,49,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386541,2023-01-19,000001,Vente en l'état futur d'achèvement,179000,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,5,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386541,2023-01-19,000001,Vente en l'état futur d'achèvement,179000,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,21,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386559,2023-01-18,000001,Vente en l'état futur d'achèvement,179000,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,48,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386559,2023-01-18,000001,Vente en l'état futur d'achèvement,179000,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,11,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386559,2023-01-18,000001,Vente en l'état futur d'achèvement,179000,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,22,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386638,2023-01-31,000001,Vente,79000,49,,AV DU PORTILLON,0009,31110,31500,Saint-Mamet,31,,,31500000AC0063,,,129,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.604669,42.778365
2023-386638,2023-01-31,000001,Vente,79000,49,,AV DU PORTILLON,0009,31110,31500,Saint-Mamet,31,,,31500000AC0063,,,22,,67,,,,,,,,2,2,Appartement,31,2,,,,,,0.604669,42.778365
2023-386638,2023-01-31,000001,Vente,79000,49,,AV DU PORTILLON,0009,31110,31500,Saint-Mamet,31,,,31500000AC0063,,,22,,67,,,,,,,,2,3,Dépendance,,0,,,,,,0.604669,42.778365
2023-386651,2023-01-24,000001,Vente en l'état futur d'achèvement,262800,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,43,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386651,2023-01-24,000001,Vente en l'état futur d'achèvement,262800,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,13,58.4,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386651,2023-01-24,000001,Vente en l'état futur d'achèvement,262800,2,,ALL DES LOISIRS,0029,31110,31500,Saint-Mamet,31,,,31500000AA0026,,,24,,,,,,,,,,1,,,,,,,,,,0.603992,42.785532
2023-386891,2023-02-03,000001,Vente,72900,12,,AV DES PYRENEES,0010,31110,31500,Saint-Mamet,31,,,31500000AB0479,,,1,,,,,,,,,,1,2,Appartement,38,2,,,,,,0.601608,42.781924
2023-386891,2023-02-03,000001,Vente,72900,12,,AV DES PYRENEES,0010,31110,31500,Saint-Mamet,31,,,31500000AB0479,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.601608,42.781924
