valeur_fonciere,code_postal,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
85000.0,31390,Appartement,44.0,2.0,0.0,0
78000.0,31390,Appartement,37.0,2.0,0.0,0
87000.0,31390,Appartement,42.0,2.0,0.0,0
82600.0,31390,Appartement,37.0,2.0,0.0,0
110000.0,31390,Appartement,62.0,3.0,116.0,1
85000.0,31390,Appartement,44.0,2.0,0.0,0
45000.0,31390,Appartement,60.0,2.0,584.0,1
506015.0,31390,Appartement,130.0,4.0,872.0,1
343000.0,31390,Appartement,202.0,7.0,1271.0,1
85000.0,31390,Appartement,41.0,2.0,0.0,0
110000.0,31390,Appartement,53.0,3.0,0.0,0
39906.0,31800,Appartement,56.0,3.0,0.0,0
96000.0,31530,Appartement,41.0,2.0,0.0,0
79000.0,31530,Appartement,42.0,2.0,0.0,0
120000.0,31530,Appartement,55.0,3.0,0.0,0
130000.0,31530,Appartement,60.0,3.0,0.0,0
76000.0,31530,Appartement,34.0,2.0,0.0,0
80000.0,31530,Appartement,45.0,2.0,0.0,0
95350.0,31530,Appartement,43.0,2.0,0.0,0
100000.0,31530,Appartement,61.0,3.0,0.0,0
82855.0,31530,Appartement,53.0,3.0,0.0,0
127000.0,31530,Appartement,61.0,3.0,0.0,0
124000.0,31450,Appartement,66.0,3.0,0.0,0
100000.0,31310,Appartement,95.0,3.0,86.0,1
150000.0,31840,Appartement,62.0,3.0,0.0,0
181350.0,31840,Appartement,72.0,3.0,0.0,0
187780.0,31840,Appartement,77.0,4.0,0.0,0
112500.0,31840,Appartement,48.0,2.0,0.0,0
74900.0,31840,Appartement,32.0,1.0,0.0,0
174200.0,31840,Appartement,76.0,4.0,0.0,0
241800.0,31840,Appartement,108.0,5.0,0.0,0
80000.0,31840,Appartement,35.0,2.0,0.0,0
133290.0,31840,Appartement,46.0,2.0,0.0,0
185130.0,31840,Appartement,77.0,4.0,0.0,0
149509.0,31840,Appartement,58.0,3.0,0.0,0
175000.0,31840,Appartement,55.0,3.0,0.0,0
179000.0,31840,Appartement,62.0,3.0,0.0,0
95000.0,31840,Appartement,83.0,4.0,0.0,0
125000.0,31840,Appartement,46.0,2.0,0.0,0
144350.0,31840,Appartement,48.0,2.0,0.0,0
219000.0,31840,Appartement,85.0,4.0,0.0,0
184000.0,31840,Appartement,63.0,3.0,0.0,0
