valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,prix_mcarre
420000.0,31870,Beaumont-sur-Lèze,Maison,177.0,6.0,terres,3493.0,2372.8813559322034
193150.0,31870,Beaumont-sur-Lèze,Maison,78.0,4.0,sols,431.0,2476.2820512820513
200000.0,31870,Beaumont-sur-Lèze,Maison,96.0,4.0,sols,1125.0,2083.3333333333335
86200.0,31870,Beaumont-sur-Lèze,Maison,49.0,2.0,sols,259.0,1759.1836734693877
192500.0,31580,Saint-Plancard,Maison,103.0,4.0,terres,1392.0,1868.9320388349515
270000.0,31580,Saint-Plancard,Maison,143.0,5.0,terrains d'agrément,729.0,1888.1118881118882
12000.0,31580,Saint-Plancard,Maison,50.0,2.0,sols,542.0,240.0
43000.0,31580,Saint-Plancard,Maison,40.0,3.0,sols,260.0,1075.0
285600.0,31340,Bondigoux,Maison,90.0,4.0,sols,1288.0,3173.3333333333335
298200.0,31340,Bondigoux,Maison,121.0,4.0,sols,1000.0,2464.4628099173556
318000.0,31340,Bondigoux,Maison,106.0,4.0,sols,1000.0,3000.0
73000.0,31340,Bondigoux,Maison,38.0,3.0,sols,27.0,1921.0526315789473
588700.0,31340,Bondigoux,Maison,136.0,4.0,sols,1390.0,4328.676470588235
450000.0,31340,Bondigoux,Maison,284.0,6.0,sols,1204.0,1584.5070422535211
52500.0,31410,Noé,Maison,50.0,4.0,sols,26.0,1050.0
351000.0,31410,Noé,Maison,102.0,5.0,jardins,1630.0,3441.176470588235
410000.0,31410,Noé,Maison,228.0,7.0,sols,1287.0,1798.2456140350878
300000.0,31410,Noé,Maison,126.0,4.0,terrains d'agrément,1042.0,2380.9523809523807
220000.0,31410,Noé,Maison,53.0,3.0,sols,1304.0,4150.943396226415
250000.0,31410,Noé,Maison,194.0,4.0,sols,1000.0,1288.659793814433
77480.0,31410,Noé,Maison,99.0,5.0,sols,1330.0,782.6262626262626
420000.0,31410,Noé,Maison,119.0,4.0,sols,1921.0,3529.4117647058824
276100.0,31410,Noé,Maison,120.0,5.0,sols,1000.0,2300.8333333333335
239000.0,31410,Noé,Maison,101.0,5.0,sols,722.0,2366.3366336633662
145000.0,31410,Noé,Maison,80.0,5.0,sols,493.0,1812.5
291000.0,31410,Noé,Maison,120.0,6.0,sols,485.0,2425.0
273200.0,31410,Noé,Maison,99.0,5.0,sols,800.0,2759.59595959596
65000.0,31410,Noé,Maison,42.0,1.0,sols,21.0,1547.6190476190477
430430.0,31410,Noé,Maison,100.0,4.0,sols,436.0,4304.3
90000.0,31410,Noé,Maison,45.0,3.0,sols,72.0,2000.0
197400.0,31410,Noé,Maison,84.0,5.0,sols,781.0,2350.0
379000.0,31410,Noé,Maison,166.0,5.0,sols,1491.0,2283.132530120482
200650.0,31410,Noé,Maison,62.0,3.0,sols,95.0,3236.2903225806454
235000.0,31410,Noé,Maison,69.0,4.0,sols,575.0,3405.7971014492755
185700.0,31410,Noé,Maison,95.0,5.0,sols,631.0,1954.7368421052631
442150.0,31410,Noé,Maison,172.0,5.0,sols,1434.0,2570.639534883721
260000.0,31410,Noé,Maison,101.0,5.0,jardins,707.0,2574.2574257425745
110000.0,31410,Noé,Maison,66.0,3.0,sols,455.0,1666.6666666666667
285000.0,31410,Noé,Maison,70.0,4.0,,0.0,4071.4285714285716
150000.0,31410,Noé,Maison,79.0,4.0,sols,97.0,1898.73417721519
200000.0,31410,Noé,Maison,88.0,4.0,sols,1041.0,2272.7272727272725
220000.0,31410,Noé,Maison,108.0,4.0,sols,1052.0,2037.037037037037
175000.0,31410,Noé,Maison,80.0,4.0,sols,646.0,2187.5
