valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
500000.0,31700,Beauzelle,Maison,131.0,4.0,terrains d'agrément,628.0
489020.0,31700,Beauzelle,Maison,138.0,4.0,terrains d'agrément,500.0
530550.0,31700,Beauzelle,Maison,134.0,6.0,sols,727.0
120000.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0
350190.0,31170,Tournefeuille,Maison,105.0,5.0,None,0.0
119900.0,31170,Tournefeuille,Appartement,45.0,2.0,None,0.0
341150.0,31170,Tournefeuille,Maison,114.0,5.0,sols,581.0
322300.0,31170,Tournefeuille,Maison,85.0,4.0,sols,397.0
246200.0,31170,Tournefeuille,Appartement,70.0,3.0,None,0.0
155000.0,31170,Tournefeuille,Appartement,58.0,2.0,None,0.0
460100.0,31170,Tournefeuille,Maison,169.0,6.0,sols,652.0
216280.0,31170,Tournefeuille,Maison,70.0,3.0,None,0.0
150000.0,31170,Tournefeuille,Appartement,45.0,2.0,None,0.0
205000.0,31170,Tournefeuille,Maison,46.0,3.0,sols,392.0
253900.0,31170,Tournefeuille,Appartement,66.0,3.0,None,0.0
115000.0,31170,Tournefeuille,Appartement,43.0,2.0,None,0.0
534870.0,31170,Tournefeuille,Maison,148.0,5.0,sols,604.0
237000.0,31170,Tournefeuille,Maison,82.0,4.0,sols,172.0
345000.0,31170,Tournefeuille,Maison,95.0,4.0,sols,642.0
2300000.0,31170,Tournefeuille,Maison,116.0,4.0,terrains d'agrément,1394.0
260000.0,31170,Tournefeuille,Maison,79.0,4.0,sols,333.0
152000.0,31170,Tournefeuille,Appartement,51.0,3.0,None,0.0
630050.0,31170,Tournefeuille,Maison,180.0,6.0,sols,665.0
413500.0,31170,Tournefeuille,Maison,122.0,5.0,None,0.0
115000.0,31170,Tournefeuille,Appartement,33.0,2.0,None,0.0
626200.0,31170,Tournefeuille,Maison,192.0,7.0,terrains d'agrément,728.0
675010.0,31170,Tournefeuille,Maison,173.0,6.0,sols,1296.0
440150.0,31170,Tournefeuille,Maison,134.0,5.0,sols,254.0
359000.0,31170,Tournefeuille,Maison,85.0,4.0,terrains d'agrément,510.0
203000.0,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
317310.0,31170,Tournefeuille,Maison,83.0,4.0,sols,438.0
417019.0,31170,Tournefeuille,Maison,115.0,5.0,sols,462.0
350000.0,31170,Tournefeuille,Maison,110.0,4.0,sols,516.0
128000.0,31170,Tournefeuille,Appartement,50.0,2.0,None,0.0
346650.0,31170,Tournefeuille,Maison,94.0,4.0,sols,294.0
319000.0,31170,Tournefeuille,Maison,105.0,5.0,sols,610.0
447208.0,31170,Tournefeuille,Appartement,138.0,5.0,None,0.0
398750.0,31170,Tournefeuille,Maison,100.0,6.0,sols,982.0
336000.0,31170,Tournefeuille,Maison,90.0,4.0,sols,459.0
650000.0,31170,Tournefeuille,Maison,63.0,4.0,terres,1324.0
277100.0,31170,Tournefeuille,Maison,89.0,4.0,None,0.0
217346.16,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
235000.0,31170,Tournefeuille,Appartement,72.0,4.0,None,0.0
224990.0,31170,Tournefeuille,Maison,82.0,4.0,sols,162.0
480070.0,31170,Tournefeuille,Maison,160.0,6.0,sols,540.0
266070.0,31170,Tournefeuille,Appartement,92.0,3.0,None,0.0
384930.0,31170,Tournefeuille,Maison,79.0,3.0,sols,883.0
400000.0,31170,Tournefeuille,Appartement,169.0,6.0,prés,3268.0
197150.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
356000.0,31170,Tournefeuille,Maison,85.0,4.0,None,0.0
407000.0,31170,Tournefeuille,Maison,109.0,4.0,sols,633.0
550160.0,31170,Tournefeuille,Maison,139.0,4.0,sols,1004.0
170000.0,31170,Tournefeuille,Appartement,67.0,3.0,None,0.0
664500.0,31170,Tournefeuille,Maison,152.0,5.0,sols,891.0
226364.0,31170,Tournefeuille,Appartement,87.0,4.0,None,0.0
174000.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
176000.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
179000.0,31170,Tournefeuille,Appartement,64.0,3.0,None,0.0
154000.0,31170,Tournefeuille,Appartement,53.0,3.0,None,0.0
407200.0,31170,Tournefeuille,Maison,129.0,4.0,sols,602.0
86000.0,31170,Tournefeuille,Appartement,25.0,1.0,None,0.0
300000.0,31170,Tournefeuille,Maison,90.0,4.0,sols,701.0
240000.0,31170,Tournefeuille,Appartement,95.0,5.0,None,0.0
366550.0,31170,Tournefeuille,Appartement,93.0,4.0,None,0.0
610830.0,31170,Tournefeuille,Maison,148.0,6.0,sols,1000.0
465932.0,31170,Tournefeuille,Maison,132.0,6.0,sols,643.0
354000.0,31170,Tournefeuille,Maison,89.0,4.0,sols,646.0
286500.0,31170,Tournefeuille,Maison,98.0,4.0,sols,232.0
295000.0,31170,Tournefeuille,Maison,122.0,5.0,None,0.0
395565.0,31170,Tournefeuille,Maison,100.0,8.0,sols,597.0
407000.0,31170,Tournefeuille,Maison,92.0,4.0,sols,519.0
130500.0,31170,Tournefeuille,Maison,138.0,6.0,sols,658.0
162000.0,31170,Tournefeuille,Appartement,43.0,2.0,None,0.0
380610.0,31170,Tournefeuille,Maison,108.0,5.0,sols,677.0
256000.0,31170,Tournefeuille,Maison,90.0,5.0,sols,346.0
197000.0,31170,Tournefeuille,Maison,100.0,5.0,sols,294.0
345000.0,31170,Tournefeuille,Maison,110.0,5.0,sols,1192.0
453054.0,31170,Tournefeuille,Maison,132.0,6.0,sols,722.0
217000.0,31170,Tournefeuille,Appartement,66.0,3.0,None,0.0
245300.0,31170,Tournefeuille,Maison,72.0,3.0,None,0.0
239000.0,31170,Tournefeuille,Maison,70.0,3.0,None,0.0
135500.0,31170,Tournefeuille,Appartement,45.0,2.0,None,0.0
539100.0,31170,Tournefeuille,Maison,171.0,7.0,sols,610.0
205100.0,31170,Tournefeuille,Appartement,59.0,3.0,None,0.0
3463000.0,31170,Tournefeuille,Maison,207.0,6.0,sols,1358.0
449750.0,31170,Tournefeuille,Maison,111.0,4.0,sols,696.0
145000.0,31170,Tournefeuille,Appartement,43.0,2.0,None,0.0
950000.0,31170,Tournefeuille,Maison,107.0,3.0,sols,1104.0
1108800.0,31170,Tournefeuille,Maison,293.0,6.0,sols,1000.0
598200.0,31170,Tournefeuille,Maison,149.0,6.0,sols,1215.0
326400.0,31170,Tournefeuille,Maison,90.0,4.0,sols,540.0
340600.0,31170,Tournefeuille,Maison,92.0,4.0,sols,460.0
161000.0,31170,Tournefeuille,Appartement,51.0,3.0,None,0.0
564000.0,31170,Tournefeuille,Maison,114.0,4.0,terres,700.0
320000.0,31170,Tournefeuille,Maison,131.0,5.0,sols,1014.0
170000.0,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
288200.0,31170,Tournefeuille,Maison,92.0,4.0,sols,483.0
402000.0,31170,Tournefeuille,Maison,101.0,4.0,sols,635.0
660000.0,31170,Tournefeuille,Maison,139.0,6.0,terrains d'agrément,813.0
232000.0,31170,Tournefeuille,Appartement,77.0,4.0,None,0.0
168000.0,31170,Tournefeuille,Appartement,53.0,3.0,None,0.0
188500.0,31170,Tournefeuille,Appartement,59.0,3.0,None,0.0
135000.0,31170,Tournefeuille,Appartement,39.0,2.0,None,0.0
1500000.0,31170,Tournefeuille,Maison,165.0,6.0,sols,752.0
335000.0,31170,Tournefeuille,Maison,110.0,5.0,sols,521.0
260000.0,31170,Tournefeuille,Maison,90.0,4.0,None,0.0
129250.0,31170,Tournefeuille,Appartement,57.0,3.0,None,0.0
560000.0,31170,Tournefeuille,Maison,150.0,6.0,sols,744.0
181000.0,31170,Tournefeuille,Appartement,64.0,3.0,None,0.0
104017.0,31170,Tournefeuille,Appartement,29.0,2.0,None,0.0
454000.0,31170,Tournefeuille,Maison,120.0,4.0,sols,1285.0
270000.0,31170,Tournefeuille,Maison,102.0,5.0,sols,431.0
