code_postal,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur,log_valeur_fonciere
31860,80.0,4.0,730.0,1,12.830274274912115
31860,85.0,4.0,0.0,0,12.323860125621126
31860,100.0,4.0,1372.0,1,12.660331092405906
31860,84.0,4.0,423.0,1,12.237333881304192
31430,200.0,2.0,2100.0,1,12.778085556316253
31470,97.0,4.0,810.0,1,12.690844806168588
31470,171.0,5.0,488.0,1,12.690459833643173
31470,92.0,4.0,2492.0,1,12.73670383776449
31470,89.0,4.0,340.0,1,12.456835254920373
31470,97.0,4.0,1000.0,1,11.57951812491936
31470,167.0,6.0,0.0,0,13.009644745976612
31470,127.0,4.0,500.0,1,13.045484492893252
31470,160.0,6.0,1200.0,1,13.07107218827772
31470,110.0,5.0,900.0,1,12.723380216015364
31470,79.0,4.0,938.0,1,12.493508437657445
31470,95.0,4.0,484.0,1,12.323860125621126
31470,123.0,5.0,813.0,1,12.907574825672851
31470,81.0,2.0,1854.0,1,12.873904582205109
31470,84.0,4.0,1500.0,1,12.713977006560045
31470,67.0,4.0,2744.0,1,12.031725210748633
31380,93.0,4.0,0.0,0,12.390271605565948
31380,97.0,4.0,500.0,1,12.709876675502672
31380,165.0,6.0,0.0,0,12.978495316450784
31380,96.0,4.0,582.0,1,12.6050198917842
31380,96.0,4.0,1000.0,1,12.923914877701906
31380,127.0,6.0,1000.0,1,12.739640688812674
31380,78.0,3.0,816.0,1,12.07254696717504
31380,78.0,3.0,816.0,1,11.695255355062796
31380,120.0,5.0,936.0,1,12.98883427049148
31380,151.0,5.0,1049.0,1,12.834150497432493
31380,138.0,4.0,1205.0,1,12.77138929548529
31380,105.0,5.0,265.0,1,12.773801150490428
31380,117.0,5.0,1000.0,1,12.273735966890268
31380,130.0,4.0,559.0,1,13.05172844418593
31380,95.0,5.0,1204.0,1,12.910409487665516
31380,84.0,4.0,341.0,1,12.464973226056454
31380,78.0,4.0,608.0,1,12.425212191503038
31380,98.0,4.0,1200.0,1,12.811183378440488
31460,30.0,1.0,125.0,1,12.437981667612153
31460,160.0,4.0,724.0,1,12.25486757159303
31460,120.0,4.0,115.0,1,11.884495917930655
31590,184.0,5.0,120.0,1,12.872955416373587
31590,60.0,2.0,458.0,1,12.180759965737863
31590,108.0,4.0,911.0,1,11.184435286790633
31390,61.0,3.0,1000.0,1,12.159510248044802
31390,90.0,3.0,240.0,1,11.631605875642965
31390,70.0,3.0,600.0,1,12.187811928878562
31390,94.0,4.0,756.0,1,12.404927602627597
31390,80.0,4.0,1156.0,1,11.850118870058369
31390,60.0,2.0,432.0,1,12.141486123240565
31390,110.0,3.0,1093.0,1,12.4634282336479
31390,102.0,5.0,2011.0,1,12.576604635598224
31390,90.0,4.0,265.0,1,12.147919030759663
31390,90.0,4.0,265.0,1,12.147919030759663
31390,105.0,5.0,2176.0,1,12.468440756144114
31390,50.0,4.0,775.0,1,11.002116507732016
31110,120.0,3.0,68.0,1,12.230770136157428
31310,97.0,4.0,1084.0,1,12.33885813503812
31310,97.0,4.0,1551.0,1,12.493508437657445
31310,77.0,3.0,500.0,1,12.323415584358154
31310,145.0,4.0,112.0,1,10.778977123006351
31310,65.0,2.0,165.0,1,11.799239101540577
31310,88.0,5.0,325.0,1,12.532137339650044
31310,146.0,4.0,205.0,1,12.059895922372384
31110,120.0,4.0,68.0,1,12.443911687242986
31110,42.0,3.0,701.0,1,11.643172720715928
31110,34.0,2.0,149.0,1,11.60824473564232
31110,60.0,3.0,156.0,1,10.819798284210286
31110,92.0,6.0,800.0,1,12.308182383129823
31110,78.0,4.0,500.0,1,12.424609602763658
31110,109.0,5.0,837.0,1,12.444305774364985
31110,129.0,5.0,603.0,1,12.83468397161566
31460,105.0,4.0,1000.0,1,12.57002454806453
31460,105.0,4.0,835.0,1,12.514479713883045
31460,67.0,4.0,1753.0,1,11.652696102959752
31460,110.0,3.0,140.0,1,11.948602883419843
31460,67.0,4.0,1510.0,1,11.60824473564232
31210,105.0,4.0,800.0,1,12.238060533986513
31210,68.0,3.0,800.0,1,11.51293546492023
31210,62.0,3.0,1172.0,1,11.918397239722838
31210,59.0,2.0,3278.0,1,10.819798284210286
31210,79.0,4.0,1000.0,1,11.827743504053696
31210,131.0,5.0,1002.0,1,12.175618592671356
31210,147.0,5.0,753.0,1,12.054964831487585
31210,120.0,4.0,582.0,1,12.175618592671356
31210,87.0,4.0,1540.0,1,12.25486757159303
31210,198.0,6.0,1892.0,1,12.727841176689148
31370,97.0,4.0,1100.0,1,10.915106645867503
31370,158.0,3.0,1137.0,1,12.765405536311112
31540,158.0,4.0,1016.0,1,12.53897064502647
31440,125.0,4.0,237.0,1,10.436788698817288
31440,84.0,3.0,207.0,1,11.599112335481124
31440,78.0,4.0,225.0,1,11.325402403776808
31440,79.0,3.0,500.0,1,11.970356641103
31440,100.0,5.0,425.0,1,10.63347280231402
31440,41.0,2.0,821.0,1,11.13620815071354
31440,80.0,3.0,110.0,1,11.669937760751914
31440,117.0,3.0,380.0,1,11.891368749982083
31440,37.0,2.0,75.0,1,11.936564423657256
31440,70.0,3.0,545.0,1,11.218567827096358
31440,153.0,3.0,3417.0,1,11.81303746480054
31440,56.0,3.0,65.0,1,10.308985993422082
31440,69.0,1.0,3940.0,1,11.39640288460621
31650,77.0,4.0,384.0,1,12.877027896683622
31650,78.0,4.0,202.0,1,12.615865044064096
31650,119.0,5.0,698.0,1,13.007964359495697
31650,82.0,4.0,0.0,0,12.57262712573699
31650,94.0,4.0,604.0,1,12.804911893867851
31650,121.0,5.0,375.0,1,12.920983764052592
31650,152.0,4.0,690.0,1,13.151768769820936
31650,98.0,4.0,620.0,1,12.94414777961187
31650,78.0,4.0,298.0,1,12.723767621180444
31650,78.0,4.0,199.0,1,11.870606902224589
31650,84.0,4.0,417.0,1,12.795250009628395
31650,94.0,5.0,370.0,1,12.779875885354992
31650,114.0,5.0,410.0,1,12.907934245003815
31650,120.0,5.0,753.0,1,12.847929163278051
31650,106.0,6.0,491.0,1,12.734495525371472
31650,96.0,4.0,616.0,1,12.706850963741102
31650,56.0,3.0,435.0,1,12.791860091102214
31650,79.0,4.0,0.0,0,12.34148164933907
31650,90.0,4.0,762.0,1,12.938373229285828
31650,81.0,4.0,206.0,1,12.456835254920373
31650,101.0,5.0,872.0,1,12.809844748669446
31650,127.0,5.0,619.0,1,12.977039294967998
31650,83.0,4.0,192.0,1,12.67226589950774
31650,82.0,4.0,0.0,0,12.559545969749747
31650,115.0,4.0,723.0,1,12.835616867177698
31650,145.0,5.0,799.0,1,13.03064493956528
31650,84.0,4.0,476.0,1,13.003582093664075
31650,81.0,4.0,122.0,1,12.583930146576789
31650,84.0,5.0,217.0,1,12.668299236859898
31650,82.0,4.0,0.0,0,12.487488878546143
31650,94.0,5.0,200.0,1,12.301387370778713
31650,64.0,3.0,0.0,0,12.136727926437826
31650,81.0,4.0,149.0,1,12.570545605753932
31650,120.0,5.0,682.0,1,12.679199517372098
31650,94.0,5.0,272.0,1,12.399226981988615
31650,131.0,6.0,383.0,1,13.021439671201302
31650,70.0,3.0,609.0,1,12.493883459694384
31650,118.0,4.0,604.0,1,12.965711906537503
31650,94.0,5.0,696.0,1,12.611541086966117
31650,91.0,4.0,81.0,1,12.765691290604371
31650,116.0,4.0,650.0,1,12.86747370841737
