valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year,prix_mcarre
364682.0,31470,Fonsorbes,Maison,141.0,7.0,sols,1183.0,2022,2586.3971631205673
280000.0,31470,Fonsorbes,Maison,94.0,4.0,sols,656.0,2022,2978.723404255319
282000.0,31470,Fonsorbes,Maison,86.0,4.0,sols,414.0,2022,3279.0697674418607
330000.0,31470,Fonsorbes,Maison,103.0,5.0,sols,1284.0,2022,3203.883495145631
308800.0,31470,Fonsorbes,Maison,99.0,4.0,sols,753.0,2022,3119.191919191919
560650.0,31470,Fonsorbes,Maison,139.0,5.0,sols,1330.0,2022,4033.453237410072
348000.0,31470,Fonsorbes,Maison,114.0,5.0,sols,984.0,2022,3052.6315789473683
358000.0,31470,Fonsorbes,Maison,144.0,4.0,sols,1000.0,2022,2486.1111111111113
277195.0,31470,Fonsorbes,Maison,107.0,5.0,sols,444.0,2022,2590.607476635514
314000.0,31470,Fonsorbes,Maison,107.0,4.0,sols,691.0,2022,2934.5794392523367
280000.0,31470,Fonsorbes,Maison,99.0,6.0,sols,1126.0,2022,2828.282828282828
287830.0,31470,Fonsorbes,Maison,74.0,5.0,sols,1657.0,2022,3889.5945945945946
445381.0,31470,Fonsorbes,Maison,131.0,5.0,sols,800.0,2022,3399.8549618320612
358000.0,31470,Fonsorbes,Maison,117.0,5.0,sols,688.0,2022,3059.82905982906
360828.0,31470,Fonsorbes,Maison,99.0,4.0,sols,667.0,2022,3644.7272727272725
387400.0,31470,Fonsorbes,Maison,136.0,5.0,sols,588.0,2022,2848.529411764706
72353.4,31470,Fonsorbes,Maison,150.0,5.0,sols,1714.0,2022,482.35599999999994
342500.0,31470,Fonsorbes,Maison,78.0,3.0,sols,1111.0,2022,4391.025641025641
201500.0,31470,Fonsorbes,Maison,62.0,3.0,sols,134.0,2022,3250.0
554800.0,31470,Fonsorbes,Maison,161.0,5.0,sols,1000.0,2022,3445.9627329192544
333900.0,31470,Fonsorbes,Maison,77.0,3.0,sols,610.0,2022,4336.363636363636
351000.0,31470,Fonsorbes,Maison,99.0,5.0,sols,1176.0,2022,3545.4545454545455
350000.0,31470,Fonsorbes,Maison,106.0,4.0,sols,1062.0,2022,3301.8867924528304
364177.0,31470,Fonsorbes,Maison,100.0,4.0,sols,1450.0,2022,3641.77
389000.0,31470,Fonsorbes,Maison,100.0,4.0,sols,1000.0,2022,3890.0
265600.0,31470,Fonsorbes,Maison,85.0,4.0,sols,1077.0,2022,3124.705882352941
270200.0,31470,Fonsorbes,Maison,81.0,4.0,,0.0,2022,3335.8024691358023
250000.0,31470,Fonsorbes,Maison,105.0,5.0,sols,1376.0,2022,2380.9523809523807
240000.0,31470,Fonsorbes,Maison,101.0,4.0,sols,1413.0,2022,2376.237623762376
295000.0,31470,Fonsorbes,Maison,106.0,5.0,terrains d'agrément,1404.0,2022,2783.0188679245284
308883.0,31470,Fonsorbes,Maison,82.0,4.0,sols,1330.0,2022,3766.8658536585367
320000.0,31470,Fonsorbes,Maison,85.0,4.0,sols,767.0,2022,3764.705882352941
