valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
295000.0,31170,Tournefeuille,Maison,122.0,5.0,,0.0
395565.0,31170,Tournefeuille,Maison,100.0,8.0,sols,597.0
407000.0,31170,Tournefeuille,Maison,92.0,4.0,sols,519.0
130500.0,31170,Tournefeuille,Maison,138.0,6.0,sols,658.0
380610.0,31170,Tournefeuille,Maison,108.0,5.0,sols,677.0
256000.0,31170,Tournefeuille,Maison,90.0,5.0,sols,346.0
197000.0,31170,Tournefeuille,Maison,100.0,5.0,sols,294.0
345000.0,31170,Tournefeuille,Maison,110.0,5.0,sols,1192.0
453054.0,31170,Tournefeuille,Maison,132.0,6.0,sols,722.0
245300.0,31170,Tournefeuille,Maison,72.0,3.0,,0.0
239000.0,31170,Tournefeuille,Maison,70.0,3.0,,0.0
539100.0,31170,Tournefeuille,Maison,171.0,7.0,sols,610.0
3463000.0,31170,Tournefeuille,Maison,207.0,6.0,sols,1358.0
449750.0,31170,Tournefeuille,Maison,111.0,4.0,sols,696.0
950000.0,31170,Tournefeuille,Maison,107.0,3.0,sols,1104.0
1108800.0,31170,Tournefeuille,Maison,293.0,6.0,sols,1000.0
598200.0,31170,Tournefeuille,Maison,149.0,6.0,sols,1215.0
326400.0,31170,Tournefeuille,Maison,90.0,4.0,sols,540.0
340600.0,31170,Tournefeuille,Maison,92.0,4.0,sols,460.0
564000.0,31170,Tournefeuille,Maison,114.0,4.0,terres,700.0
320000.0,31170,Tournefeuille,Maison,131.0,5.0,sols,1014.0
288200.0,31170,Tournefeuille,Maison,92.0,4.0,sols,483.0
402000.0,31170,Tournefeuille,Maison,101.0,4.0,sols,635.0
660000.0,31170,Tournefeuille,Maison,139.0,6.0,terrains d'agrément,813.0
1500000.0,31170,Tournefeuille,Maison,165.0,6.0,sols,752.0
335000.0,31170,Tournefeuille,Maison,110.0,5.0,sols,521.0
260000.0,31170,Tournefeuille,Maison,90.0,4.0,,0.0
560000.0,31170,Tournefeuille,Maison,150.0,6.0,sols,744.0
454000.0,31170,Tournefeuille,Maison,120.0,4.0,sols,1285.0
