valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
191000.0,31170,Tournefeuille,Appartement,44.0,2.0,,0.0
156799.0,31170,Tournefeuille,Appartement,62.0,3.0,,0.0
147000.0,31170,Tournefeuille,Appartement,58.0,3.0,,0.0
175000.0,31170,Tournefeuille,Appartement,44.0,2.0,,0.0
79500.0,31170,Tournefeuille,Appartement,27.0,1.0,,0.0
135000.0,31170,Tournefeuille,Appartement,44.0,2.0,,0.0
183000.0,31170,Tournefeuille,Appartement,59.0,3.0,,0.0
110000.0,31170,Tournefeuille,Appartement,41.0,2.0,,0.0
175000.0,31170,Tournefeuille,Appartement,60.0,3.0,,0.0
145000.0,31170,Tournefeuille,Appartement,43.0,2.0,,0.0
329000.0,31170,Tournefeuille,Appartement,84.0,4.0,,0.0
43470.0,31170,Tournefeuille,Appartement,23.0,1.0,,0.0
161000.0,31170,Tournefeuille,Appartement,62.0,3.0,,0.0
272770.0,31170,Tournefeuille,Appartement,92.0,4.0,,0.0
139183.0,31170,Tournefeuille,Appartement,40.0,2.0,,0.0
190000.0,31170,Tournefeuille,Appartement,62.0,3.0,,0.0
95500.0,31170,Tournefeuille,Appartement,35.0,2.0,,0.0
125000.0,31170,Tournefeuille,Appartement,41.0,2.0,,0.0
129000.0,31170,Tournefeuille,Appartement,41.0,2.0,,0.0
210000.0,31170,Tournefeuille,Appartement,63.0,3.0,,0.0
114000.0,31170,Tournefeuille,Appartement,38.0,1.0,,0.0
97000.0,31170,Tournefeuille,Appartement,28.0,1.0,,0.0
165500.0,31170,Tournefeuille,Appartement,59.0,3.0,,0.0
294500.0,31170,Tournefeuille,Appartement,70.0,3.0,,0.0
297580.0,31170,Tournefeuille,Appartement,85.0,4.0,,0.0
137000.0,31170,Tournefeuille,Appartement,30.0,2.0,,0.0
161000.0,31170,Tournefeuille,Appartement,62.0,3.0,,0.0
117000.0,31170,Tournefeuille,Appartement,50.0,2.0,,0.0
267000.0,31170,Tournefeuille,Appartement,64.0,3.0,,0.0
179000.0,31170,Tournefeuille,Appartement,60.0,3.0,,0.0
229750.0,31170,Tournefeuille,Appartement,62.0,3.0,,0.0
110500.0,31170,Tournefeuille,Appartement,38.0,2.0,,0.0
110000.0,31170,Tournefeuille,Appartement,44.0,2.0,,0.0
138700.0,31170,Tournefeuille,Appartement,47.0,2.0,,0.0
133800.0,31170,Tournefeuille,Appartement,64.0,3.0,,0.0
128000.0,31170,Tournefeuille,Appartement,41.0,2.0,,0.0
150000.0,31170,Tournefeuille,Appartement,41.0,2.0,,0.0
195000.0,31170,Tournefeuille,Appartement,63.0,3.0,,0.0
141120.0,31170,Tournefeuille,Appartement,44.0,2.0,,0.0
183000.0,31170,Tournefeuille,Appartement,59.0,3.0,,0.0
155000.0,31170,Tournefeuille,Appartement,62.0,3.0,,0.0
158500.0,31170,Tournefeuille,Appartement,45.0,2.0,,0.0
261050.0,31170,Tournefeuille,Appartement,85.0,4.0,,0.0
329100.0,31170,Tournefeuille,Appartement,98.0,3.0,,0.0
142650.0,31170,Tournefeuille,Appartement,44.0,2.0,,0.0
145000.0,31170,Tournefeuille,Appartement,60.0,3.0,,0.0
94400.0,31170,Tournefeuille,Appartement,26.0,1.0,,0.0
135000.0,31170,Tournefeuille,Appartement,39.0,2.0,,0.0
103500.0,31170,Tournefeuille,Appartement,36.0,2.0,,0.0
359500.0,31170,Tournefeuille,Appartement,84.0,5.0,,0.0
291350.0,31170,Tournefeuille,Appartement,72.0,3.0,,0.0
181000.0,31170,Tournefeuille,Appartement,60.0,2.0,,0.0
