valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year
315000.0,31790,Saint-Sauveur,Maison,125.0,5.0,sols,482.0,2022
409670.0,31790,Saint-Sauveur,Maison,160.0,4.0,sols,1161.0,2022
357350.0,31790,Saint-Sauveur,Maison,158.0,6.0,sols,1095.0,2022
353300.0,31790,Saint-Sauveur,Maison,114.0,5.0,sols,862.0,2022
500000.0,31790,Saint-Sauveur,Maison,255.0,5.0,sols,1200.0,2022
399720.0,31790,Saint-Sauveur,Maison,136.0,5.0,sols,742.0,2022
302000.0,31790,Saint-Sauveur,Maison,91.0,4.0,sols,759.0,2022
313900.0,31790,Saint-Sauveur,Maison,77.0,3.0,sols,2743.0,2022
358400.0,31790,Saint-Sauveur,Maison,102.0,4.0,sols,967.0,2022
266400.0,31790,Saint-Sauveur,Maison,77.0,3.0,sols,1259.0,2022
359350.0,31790,Saint-Sauveur,Maison,90.0,4.0,sols,996.0,2022
398280.0,31790,Saint-Sauveur,Maison,117.0,6.0,sols,1923.0,2022
145000.0,31790,Saint-Sauveur,Maison,86.0,4.0,sols,40.0,2022
100000.0,31790,Saint-Sauveur,Maison,51.0,3.0,sols,381.0,2022
240000.0,31790,Saint-Sauveur,Maison,88.0,6.0,terres,1030.0,2022
155000.0,31790,Saint-Sauveur,Maison,99.0,5.0,sols,931.0,2022
190000.0,31790,Saint-Sauveur,Maison,68.0,3.0,None,0.0,2022
219030.0,31790,Saint-Sauveur,Maison,72.0,3.0,sols,40.0,2022
360500.0,31790,Saint-Sauveur,Maison,90.0,4.0,sols,593.0,2022
155500.0,31790,Saint-Sauveur,Maison,65.0,3.0,sols,87.0,2022
55000.0,31370,Forgues,Maison,97.0,4.0,sols,1100.0,2023
349900.0,31370,Forgues,Maison,158.0,3.0,sols,1137.0,2023
358000.0,31570,Lanta,Maison,139.0,5.0,terrains d'agrément,2200.0,2023
195000.0,31570,Lanta,Maison,158.0,5.0,sols,3009.0,2023
365200.0,31570,Lanta,Maison,101.0,4.0,terrains d'agrément,912.0,2023
707800.0,31570,Lanta,Maison,177.0,6.0,sols,1000.0,2023
173000.0,31570,Lanta,Maison,60.0,3.0,sols,1017.0,2023
342000.0,31570,Lanta,Maison,103.0,4.0,sols,1207.0,2023
245200.0,31570,Lanta,Maison,90.0,4.0,sols,263.0,2023
511897.0,31570,Lanta,Maison,131.0,5.0,sols,868.0,2023
117000.0,31570,Lanta,Maison,47.0,2.0,sols,42.0,2023
454000.0,31570,Lanta,Maison,124.0,5.0,sols,1022.0,2023
370000.0,31570,Lanta,Maison,92.0,4.0,None,0.0,2023
360100.0,31570,Lanta,Maison,95.0,4.0,sols,614.0,2023
418700.0,31570,Lanta,Maison,104.0,4.0,sols,648.0,2023
140000.0,31570,Lanta,Maison,157.0,5.0,sols,245.0,2023
441261.0,31570,Lanta,Maison,119.0,4.0,sols,630.0,2023
417885.0,31570,Lanta,Maison,170.0,7.0,sols,1144.0,2023
210000.0,31570,Lanta,Maison,95.0,4.0,sols,1569.0,2023
483750.0,31570,Lanta,Maison,163.0,6.0,sols,1000.0,2023
122250.0,31570,Lanta,Appartement,46.0,2.0,None,0.0,2023
46000.0,31570,Lanta,Maison,182.0,5.0,terres,1441.0,2023
663000.0,31570,Lanta,Maison,260.0,7.0,sols,3047.0,2023
280870.0,31570,Lanta,Maison,90.0,4.0,sols,456.0,2023
240000.0,31570,Lanta,Maison,122.0,5.0,sols,552.0,2023
200000.0,31460,Mourvilles-Basses,Maison,90.0,9.0,sols,4104.0,2022
707650.0,31460,Mourvilles-Basses,Maison,198.0,5.0,terres,4507.0,2022
125000.0,31350,Sarrecave,Maison,98.0,3.0,prés,2531.0,2022
152000.0,31430,Casties-Labrande,Maison,73.0,2.0,sols,1520.0,2022
147200.0,31560,Nailloux,Maison,66.0,3.0,None,0.0,2022
325690.0,31560,Nailloux,Maison,154.0,5.0,sols,817.0,2022
349631.0,31560,Nailloux,Maison,125.0,5.0,sols,1000.0,2022
191000.0,31560,Nailloux,Maison,100.0,4.0,sols,218.0,2022
239050.0,31560,Nailloux,Maison,137.0,6.0,sols,158.0,2022
60250.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
160000.0,31560,Nailloux,Maison,88.0,4.0,sols,1069.0,2022
70000.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
66000.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
165200.0,31560,Nailloux,Maison,115.0,5.0,sols,1585.0,2022
40000.0,31560,Nailloux,Maison,108.0,3.0,sols,712.0,2022
325001.0,31560,Nailloux,Maison,160.0,4.0,sols,1569.0,2022
94000.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
270700.0,31560,Nailloux,Maison,88.0,4.0,sols,1031.0,2022
5948115.0,31560,Nailloux,Appartement,85.0,4.0,sols,6513.0,2022
64000.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
103000.0,31560,Nailloux,Maison,64.0,3.0,None,0.0,2022
420150.0,31560,Nailloux,Maison,128.0,5.0,sols,1000.0,2022
197925.0,31560,Nailloux,Maison,100.0,3.0,sols,352.0,2022
220000.0,31560,Nailloux,Maison,102.0,4.0,sols,1358.0,2022
278500.0,31560,Nailloux,Maison,110.0,5.0,sols,700.0,2022
85000.0,31560,Nailloux,Appartement,55.0,3.0,None,0.0,2022
183000.0,31560,Nailloux,Maison,90.0,4.0,None,0.0,2022
110000.0,31560,Nailloux,Maison,81.0,4.0,sols,296.0,2022
121250.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
395000.0,31560,Nailloux,Maison,136.0,6.0,sols,948.0,2022
90000.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
234800.0,31560,Nailloux,Maison,78.0,4.0,None,0.0,2022
130000.0,31560,Nailloux,Maison,92.0,4.0,sols,1005.0,2022
97000.0,31560,Nailloux,Appartement,60.0,3.0,None,0.0,2022
100000.0,31560,Nailloux,Maison,76.0,4.0,sols,275.0,2022
235550.0,31560,Nailloux,Maison,75.0,3.0,sols,488.0,2022
180000.0,31560,Nailloux,Maison,89.0,4.0,sols,429.0,2022
334000.0,31560,Nailloux,Maison,144.0,4.0,sols,391.0,2022
79900.0,31560,Nailloux,Appartement,42.0,2.0,None,0.0,2022
130000.0,31560,Nailloux,Appartement,77.0,4.0,None,0.0,2022
161041.0,31560,Nailloux,Maison,84.0,4.0,None,0.0,2022
87500.0,31560,Nailloux,Maison,90.0,3.0,sols,40.0,2022
67750.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
138862.0,31560,Nailloux,Maison,64.0,3.0,None,0.0,2022
65000.0,31560,Nailloux,Appartement,36.0,2.0,None,0.0,2022
69890.0,31560,Nailloux,Appartement,36.0,2.0,None,0.0,2022
150000.0,31560,Nailloux,Maison,65.0,3.0,None,0.0,2022
97700.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
220400.0,31560,Nailloux,Maison,105.0,5.0,sols,779.0,2022
137000.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
73000.0,31560,Nailloux,Appartement,40.0,2.0,None,0.0,2022
88000.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
158148.5,31560,Nailloux,Maison,81.0,4.0,None,0.0,2022
63188.0,31560,Nailloux,Appartement,36.0,2.0,None,0.0,2022
67000.0,31560,Nailloux,Appartement,36.0,2.0,None,0.0,2022
265000.0,31560,Nailloux,Maison,97.0,4.0,sols,775.0,2022
163700.0,31560,Nailloux,Appartement,78.0,4.0,None,0.0,2022
145000.0,31560,Nailloux,Appartement,78.0,3.0,None,0.0,2022
125000.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
445700.0,31560,Nailloux,Maison,106.0,4.0,terrains d'agrément,1192.0,2022
122500.0,31560,Nailloux,Maison,167.0,6.0,sols,1166.0,2022
95000.0,31560,Nailloux,Appartement,53.0,3.0,None,0.0,2022
7243000.0,31560,Nailloux,Appartement,85.0,4.0,sols,6513.0,2022
253000.0,31560,Nailloux,Maison,72.0,4.0,sols,996.0,2022
596800.0,31560,Nailloux,Maison,280.0,9.0,sols,1000.0,2022
255000.0,31560,Nailloux,Maison,90.0,4.0,sols,575.0,2022
395000.0,31560,Nailloux,Maison,111.0,5.0,sols,673.0,2022
314500.0,31560,Nailloux,Maison,110.0,5.0,sols,508.0,2022
37000.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
118000.0,31560,Nailloux,Appartement,50.0,2.0,sols,138.0,2022
80000.0,31560,Nailloux,Appartement,56.0,3.0,None,0.0,2022
327100.0,31560,Nailloux,Maison,91.0,4.0,sols,508.0,2022
140000.0,31560,Nailloux,Appartement,77.0,4.0,None,0.0,2022
144648.0,31560,Nailloux,Maison,64.0,3.0,None,0.0,2022
385000.0,31560,Nailloux,Maison,122.0,4.0,sols,1000.0,2022
69500.0,31560,Nailloux,Appartement,40.0,2.0,None,0.0,2022
95969.5,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
175506.5,31560,Nailloux,Maison,87.0,3.0,sols,325.0,2022
128450.0,31560,Nailloux,Appartement,64.0,3.0,None,0.0,2022
104000.0,31560,Nailloux,Maison,81.0,4.0,sols,223.0,2022
379990.0,31560,Nailloux,Maison,170.0,8.0,sols,293.0,2022
96000.0,31560,Nailloux,Maison,76.0,4.0,sols,168.0,2022
76591.5,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
857190.0,31560,Nailloux,Maison,250.0,7.0,sols,1272.0,2022
69600.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
68000.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
220000.0,31560,Nailloux,Maison,110.0,3.0,sols,204.0,2022
91000.0,31560,Nailloux,Appartement,60.0,3.0,None,0.0,2022
113000.0,31560,Nailloux,Appartement,55.0,3.0,None,0.0,2022
830800.0,31560,Nailloux,Maison,321.0,11.0,sols,1000.0,2022
96500.0,31560,Nailloux,Appartement,53.0,3.0,None,0.0,2022
251500.0,31560,Nailloux,Maison,130.0,4.0,sols,434.0,2022
95969.5,31560,Nailloux,Appartement,55.0,3.0,None,0.0,2022
88000.0,31560,Nailloux,Appartement,55.0,3.0,None,0.0,2022
56500.0,31560,Nailloux,Maison,95.0,4.0,None,0.0,2022
75000.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
122878.0,31560,Nailloux,Appartement,52.0,3.0,None,0.0,2022
154291.0,31560,Nailloux,Maison,81.0,4.0,None,0.0,2022
70000.0,31560,Nailloux,Maison,120.0,5.0,sols,169.0,2022
85800.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
59720.0,31560,Nailloux,Appartement,42.0,2.0,None,0.0,2022
107000.0,31560,Nailloux,Maison,80.0,2.0,sols,289.0,2022
93600.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
272900.0,31560,Nailloux,Maison,93.0,4.0,sols,642.0,2022
74677.0,31560,Nailloux,Appartement,40.0,2.0,None,0.0,2022
190000.0,31560,Nailloux,Maison,84.0,4.0,None,0.0,2022
108000.0,31560,Nailloux,Appartement,55.0,3.0,None,0.0,2022
215000.0,31560,Nailloux,Maison,93.0,4.0,sols,470.0,2022
83500.0,31560,Nailloux,Appartement,43.0,2.0,None,0.0,2022
88000.0,31560,Nailloux,Appartement,45.0,2.0,None,0.0,2022
135850.0,31560,Nailloux,Maison,64.0,3.0,sols,40.0,2022
136700.0,31560,Nailloux,Maison,65.0,3.0,None,0.0,2022
100100.0,31560,Nailloux,Appartement,56.0,2.0,None,0.0,2022
106000.0,31560,Nailloux,Appartement,65.0,3.0,None,0.0,2022
109400.0,31560,Nailloux,Appartement,61.0,3.0,None,0.0,2022
124000.0,31560,Nailloux,Appartement,64.0,3.0,None,0.0,2022
215000.0,31560,Nailloux,Maison,75.0,4.0,sols,793.0,2022
187000.0,31560,Nailloux,Maison,41.0,3.0,sols,194.0,2022
83000.0,31560,Nailloux,Appartement,42.0,2.0,None,0.0,2022
291600.0,31560,Nailloux,Maison,92.0,4.0,sols,482.0,2022
164000.0,31560,Nailloux,Maison,86.0,4.0,None,0.0,2022
299750.0,31410,Capens,Maison,130.0,5.0,terres,2352.0,2023
310000.0,31410,Capens,Maison,105.0,4.0,terrains d'agrément,1200.0,2023
145000.0,31410,Capens,Maison,88.0,4.0,sols,1059.0,2023
326500.0,31410,Capens,Maison,154.0,5.0,sols,295.0,2023
18000.0,31440,Fos,Maison,20.0,1.0,sols,70.0,2022
81000.0,31440,Fos,Maison,73.0,4.0,sols,152.0,2022
22000.0,31440,Fos,Maison,115.0,4.0,sols,251.0,2022
55000.0,31440,Fos,Maison,67.0,4.0,sols,110.0,2022
100.0,31440,Fos,Maison,68.0,3.0,sols,167.0,2022
125000.0,31440,Fos,Appartement,56.0,2.0,sols,253.0,2022
45000.0,31440,Fos,Maison,84.0,3.0,sols,220.0,2022
103000.0,31440,Fos,Maison,52.0,4.0,sols,427.0,2022
351000.0,31130,Flourens,Maison,100.0,4.0,sols,4394.0,2023
509300.0,31130,Flourens,Maison,141.0,5.0,sols,559.0,2023
475770.0,31130,Flourens,Maison,104.0,5.0,sols,511.0,2023
215000.0,31130,Flourens,Appartement,27.0,1.0,None,0.0,2023
718713.0,31130,Flourens,Maison,150.0,5.0,sols,973.0,2023
565737.5,31130,Flourens,Maison,169.0,6.0,sols,528.0,2023
724514.0,31130,Flourens,Maison,149.0,5.0,sols,729.0,2023
434600.0,31130,Flourens,Maison,129.0,5.0,terrains a bâtir,1015.0,2023
512000.0,31130,Flourens,Maison,124.0,4.0,sols,848.0,2023
421280.0,31130,Flourens,Maison,115.0,5.0,sols,536.0,2023
1348000.0,31130,Flourens,Appartement,105.0,4.0,sols,2253.0,2023
485000.0,31130,Flourens,Maison,125.0,4.0,sols,1000.0,2023
500000.0,31130,Flourens,Maison,105.0,4.0,sols,859.0,2023
690950.0,31130,Flourens,Maison,132.0,6.0,terres,2400.0,2023
295000.0,31130,Flourens,Maison,94.0,3.0,sols,664.0,2023
325000.0,31130,Flourens,Maison,102.0,4.0,sols,707.0,2023
419569.5,31130,Flourens,Maison,60.0,2.0,terrains d'agrément,1365.0,2023
169000.0,31130,Flourens,Appartement,75.0,3.0,None,0.0,2023
403600.0,31130,Flourens,Maison,120.0,6.0,sols,865.0,2023
127440.0,31130,Flourens,Appartement,41.0,2.0,None,0.0,2023
126240.0,31130,Flourens,Appartement,41.0,2.0,None,0.0,2023
150000.0,31130,Flourens,Maison,70.0,3.0,landes,2020.0,2023
446480.0,31130,Flourens,Maison,124.0,7.0,sols,600.0,2023
209045.0,31130,Flourens,Appartement,63.0,3.0,None,0.0,2023
420000.0,31700,Beauzelle,Maison,86.0,4.0,sols,1125.0,2023
122880.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0,2023
153198.36,31700,Beauzelle,Appartement,65.0,3.0,None,0.0,2023
161930.0,31700,Beauzelle,Appartement,58.0,3.0,None,0.0,2023
229230.0,31700,Beauzelle,Maison,67.0,3.0,sols,138.0,2023
147000.0,31700,Beauzelle,Appartement,48.0,2.0,None,0.0,2023
450000.0,31700,Beauzelle,Maison,145.0,4.0,sols,656.0,2023
411000.0,31700,Beauzelle,Maison,115.0,5.0,sols,640.0,2023
189000.0,31700,Beauzelle,Appartement,93.0,5.0,None,0.0,2023
119388.49,31700,Beauzelle,Appartement,45.0,2.0,None,0.0,2023
130000.0,31700,Beauzelle,Appartement,44.0,2.0,None,0.0,2023
135000.0,31700,Beauzelle,Appartement,44.0,2.0,None,0.0,2023
155000.0,31700,Beauzelle,Appartement,48.0,2.0,None,0.0,2023
283370.0,31700,Beauzelle,Appartement,86.0,4.0,None,0.0,2023
370000.0,31700,Beauzelle,Maison,88.0,4.0,sols,448.0,2023
113850.0,31700,Beauzelle,Appartement,43.0,2.0,None,0.0,2023
353765.0,31700,Beauzelle,Maison,116.0,5.0,sols,390.0,2023
260100.0,31700,Beauzelle,Maison,85.0,5.0,sols,408.0,2023
421000.0,31700,Beauzelle,Maison,107.0,5.0,sols,599.0,2023
114000.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0,2023
